"","stock.id","species","stock","ocean.region","region","sub.region","jurisdiction","lat","lon","source.id","ts.length","ts.start","ts.end","logA","b","K","rmax","sigma","ar1","ar1.l95","ar1.u95","p_S_belowK","logA2","b2","K2","rmax2","sigma2","acf_1","acf_2","acf_3","acf_4","m.spawners","sd.spawners"
"1",101,"Chinook","Ayakulik","GOA","Westward","Kodiak","AK",57.1978276,-154.53849,1,33,1977,2009,1.01970834993678,8.83469299778022e-05,11319.0124461739,11544.3042772683,0.696238781891963,0.686008595682554,0.34866744461446,0.865992837854334,0,1.18323656226831,0.000101961422618625,9807.63090899966,11779.9308622444,0.683693938785248,0.629766405013021,0.430531459131813,0.499467701380967,0.359066045598516,10212.9393939394,5863.71204922378
"2",102,"Chinook","Karluk","GOA","Westward","Kodiak","AK",57.563,-154.3843,1,34,1976,2009,0.95286148311123,0.000115997192153171,8620.8983289831,8223.95121655492,0.656717069147165,0.788222185689569,0.505767190660053,0.918040011932363,0,0.380922901362401,4.60354445434191e-05,21722.3926024399,11696.2297585275,0.637895680076985,0.700202444381831,0.457731516663417,0.258411131507889,0.0247479787958198,7709.58823529412,3455.36307014532
"3",103,"Chinook","Chignik","GOA","Westward","Chignik","AK",56.2615981,-158.71224,2,29,1980,2008,1.53026199256686,0.000314772545585414,3176.89714056923,5398.74743970141,0.498570264850387,0.51030829287323,0.0917934449387154,0.775603477696873,0,1.61950397517781,0.000342425875922269,2920.34005113271,5426.00990955718,0.486646875376061,0.421534798023528,-0.0199706319042919,-0.223907116075253,0.110553611613479,3376.27586206897,1555.29702942997
"5",105,"Chinook","Goodnews","BS","AYK","Kuskokwim","AK",59.15992,-160.6119,4,21,1981,2001,1.29724728711422,0.000285145570002201,3506.98066251663,4720.91550772363,0.407289628373307,-0.335026692285938,-0.663178451992502,0.101159400539346,0,1.36814906200516,0.000306017577566318,3267.78614468081,4722.13863520569,0.408230541705617,-0.329499817262457,0.151730007811925,-0.244444955081566,-0.238362121758087,3154.19047619048,1225.12508010601
"7",107,"Chinook","Chickamin","GOA","Southeast","Southeast","AK",55.8174772,-130.93326,5,20,1985,2004,0.182200801178936,5.90394201004257e-06,169378.357426107,74763.9498598743,0.110975010804664,0.138870206288384,-0.346610113729507,0.565670230526225,1,0.168811462041261,2.25073275750028e-06,444299.749345021,193506.462109302,0.110814501570103,0.112992834762067,-0.103582237460706,-0.174299919244304,-0.120224019649177,3306.75,1708.40624020721
"10",110,"Chinook","Stikine","GOA","Southeast","Southeast","AK",56.6917175,-132.21863,5,21,1977,1997,1.09973437048324,2.99799836319759e-05,33355.5885912301,36853.8356994549,0.507431576413756,0.0885037993130605,-0.328915291892371,0.476992282872869,0.413793103448276,1.10335034065734,3.00090060984019e-05,33323.3295604966,36951.5679087835,0.507520014843407,0.0881929467571022,-0.261026303603363,-0.0872136615873756,0.168386187091789,24788.5714285714,12776.3638707241
"11",111,"Chinook","Unuk","GOA","Southeast","Southeast","AK",56.0768125,-131.077,5,21,1982,2004,0.305167709484921,1.55494699229043e-05,64310.8739370596,32101.2971501672,0.135639053656894,0.121842865309253,-0.381139792900623,0.569170476701949,0.896551724137931,0.286090409767919,1.23105558301617e-05,81231.100674588,39780.9675971257,0.13537008304357,0.0845730652321212,-0.184808773755381,-0.536579711109055,0.0717773336777963,5887.09523809524,2400.66740521801
"13",113,"Chinook","Situk","GOA","Southeast","Southeast","AK",59.4579521,-139.57143,5,22,1977,1998,1.62743529971429,0.000554505416011535,1803.40889579192,3377.42641764997,0.791187457409411,0.545417857012392,0.118861286635671,0.802018709261939,0,1.68128461078742,0.000553810389633309,1805.67215552262,3568.75758061463,0.794985235094377,0.532915302134236,0.145327753439109,0.0527463938610246,0.0351877798183176,1314.63636363636,827.387025546866
"17",117,"Chinook","Nushagak","GOA","Bristol Bay","Bristol Bay","AK",58.9061423,-157.73358,7,40,1966,2005,1.51770238753986,7.14052504873179e-06,140045.723973422,235020.173851743,0.475340158457513,0.445636676048649,0.125099081629917,0.681937532170446,1,1.55059650642839,7.20918077684634e-06,138712.016101981,240566.477182661,0.473995133339681,0.424150744519233,0.344962959425167,0.0334532517842906,0.0695649315988611,168660.6,69666.3788516199
