"","stock.id","species","stock","region","sub.region","broodyear","spawners","recruits","use","odd_even","logR_S"
"3",201,"Pink","Puyallup","Inside WA","Inside WA",1959,14000,35300,1,"odd",0.924825634323992
"5",201,"Pink","Puyallup","Inside WA","Inside WA",1961,10000,115311,1,"odd",2.44504773302611
"7",201,"Pink","Puyallup","Inside WA","Inside WA",1963,10221,35628,1,"odd",1.24868741822268
"9",201,"Pink","Puyallup","Inside WA","Inside WA",1965,25131,40277,1,"odd",0.471678442587453
"11",201,"Pink","Puyallup","Inside WA","Inside WA",1967,22038,22868,1,"odd",0.0369703173361396
"13",201,"Pink","Puyallup","Inside WA","Inside WA",1969,16003,63066,1,"odd",1.37140559240542
"15",201,"Pink","Puyallup","Inside WA","Inside WA",1971,40000,31597,1,"odd",-0.235817274736705
"17",201,"Pink","Puyallup","Inside WA","Inside WA",1973,12194,35512,1,"odd",1.06892664004611
"19",201,"Pink","Puyallup","Inside WA","Inside WA",1975,11800,55191,1,"odd",1.54270036504014
"21",201,"Pink","Puyallup","Inside WA","Inside WA",1977,29429,102377,1,"odd",1.24668149526692
"23",201,"Pink","Puyallup","Inside WA","Inside WA",1979,29481,34017,1,"odd",0.143114411609413
"25",201,"Pink","Puyallup","Inside WA","Inside WA",1981,12115,25341,1,"odd",0.73797928314498
"27",201,"Pink","Puyallup","Inside WA","Inside WA",1983,11600,53773,1,"odd",1.53376638434612
"29",201,"Pink","Puyallup","Inside WA","Inside WA",1985,34100,45780,1,"odd",0.29454993023495
"31",201,"Pink","Puyallup","Inside WA","Inside WA",1987,34400,108869,1,"odd",1.15208876020472
"33",201,"Pink","Puyallup","Inside WA","Inside WA",1989,49850,23354,1,"odd",-0.758250220754324
"35",201,"Pink","Puyallup","Inside WA","Inside WA",1991,14000,12837,1,"odd",-0.0867257035124691
"37",201,"Pink","Puyallup","Inside WA","Inside WA",1993,10069,25396,1,"odd",0.925130284374726
"39",201,"Pink","Puyallup","Inside WA","Inside WA",1995,17596,3231,1,"odd",-1.69487991664411
"41",201,"Pink","Puyallup","Inside WA","Inside WA",1997,2732,4731,1,"odd",0.549102654940467
"43",201,"Pink","Puyallup","Inside WA","Inside WA",1999,4653,17155,1,"odd",1.3047775034479
"45",201,"Pink","Puyallup","Inside WA","Inside WA",2001,16577,197211,1,"odd",2.47625802910317
"47",201,"Pink","Puyallup","Inside WA","Inside WA",2003,191515,290622,1,"odd",0.417057319172828
"49",201,"Pink","Puyallup","Inside WA","Inside WA",2005,287230,428039,1,"odd",0.398931024382465
"51",201,"Pink","Puyallup","Inside WA","Inside WA",2007,417767,1324533,1,"odd",1.15389136262143
"54",202,"Pink","Hood Canal","Inside WA","Inside WA",1959,30500,44388,1,"odd",0.375242479024951
"56",202,"Pink","Hood Canal","Inside WA","Inside WA",1961,36800,901536,1,"odd",3.19860213011543
"58",202,"Pink","Hood Canal","Inside WA","Inside WA",1963,503000,217872,1,"odd",-0.83668243571752
"60",202,"Pink","Hood Canal","Inside WA","Inside WA",1965,160000,465405,1,"odd",1.06773417902315
"62",202,"Pink","Hood Canal","Inside WA","Inside WA",1967,269000,58604,1,"odd",-1.52390842596277
"64",202,"Pink","Hood Canal","Inside WA","Inside WA",1969,42000,138686,1,"odd",1.19454276666821
"66",202,"Pink","Hood Canal","Inside WA","Inside WA",1971,104000,70592,1,"odd",-0.387474075510335
"68",202,"Pink","Hood Canal","Inside WA","Inside WA",1973,46500,18401,1,"odd",-0.927047301629073
"70",202,"Pink","Hood Canal","Inside WA","Inside WA",1975,12500,79795,1,"odd",1.85373220154289
"72",202,"Pink","Hood Canal","Inside WA","Inside WA",1977,44000,74372,1,"odd",0.524889892999555
"74",202,"Pink","Hood Canal","Inside WA","Inside WA",1979,37100,12013,1,"odd",-1.12762757287415
"76",202,"Pink","Hood Canal","Inside WA","Inside WA",1981,6450,29222,1,"odd",1.51084171944221
"78",202,"Pink","Hood Canal","Inside WA","Inside WA",1983,25000,91739,1,"odd",1.3000717638708
"80",202,"Pink","Hood Canal","Inside WA","Inside WA",1985,63800,77341,1,"odd",0.192471025664651
"82",202,"Pink","Hood Canal","Inside WA","Inside WA",1987,62100,114944,1,"odd",0.615699064300247
"84",202,"Pink","Hood Canal","Inside WA","Inside WA",1989,60800,166259,1,"odd",1.00595702443692
"86",202,"Pink","Hood Canal","Inside WA","Inside WA",1991,118200,38696,1,"odd",-1.11664186945132
"88",202,"Pink","Hood Canal","Inside WA","Inside WA",1993,35326,36148,1,"odd",0.0230023853064577
"90",202,"Pink","Hood Canal","Inside WA","Inside WA",1995,31286,9477,1,"odd",-1.19430290265152
"92",202,"Pink","Hood Canal","Inside WA","Inside WA",1997,8299,12673,1,"odd",0.423338720483616
"94",202,"Pink","Hood Canal","Inside WA","Inside WA",1999,9475,99061,1,"odd",2.34707907103263
"96",202,"Pink","Hood Canal","Inside WA","Inside WA",2001,98261,38242,1,"odd",-0.943692815699161
"98",202,"Pink","Hood Canal","Inside WA","Inside WA",2003,37462,17603,1,"odd",-0.755257743809865
"100",202,"Pink","Hood Canal","Inside WA","Inside WA",2005,17442,29564,1,"odd",0.527676314117846
"102",202,"Pink","Hood Canal","Inside WA","Inside WA",2007,28964,11501,1,"odd",-0.92361969141613
"105",203,"Pink","Snohomish","Inside WA","Inside WA",1959,85000,89431,1,"odd",0.0508161217352572
"107",203,"Pink","Snohomish","Inside WA","Inside WA",1961,50168,982874,1,"odd",2.97510355964707
"109",203,"Pink","Snohomish","Inside WA","Inside WA",1963,275042,326297,1,"odd",0.170884196286076
"111",203,"Pink","Snohomish","Inside WA","Inside WA",1965,185015,227062,1,"odd",0.204786205069599
"113",203,"Pink","Snohomish","Inside WA","Inside WA",1967,95013,108427,1,"odd",0.132063411137895
"115",203,"Pink","Snohomish","Inside WA","Inside WA",1969,70009,192834,1,"odd",1.01320590996325
"117",203,"Pink","Snohomish","Inside WA","Inside WA",1971,125000,207801,1,"odd",0.508267153670785
"119",203,"Pink","Snohomish","Inside WA","Inside WA",1973,110000,126342,1,"odd",0.138512149852033
"121",203,"Pink","Snohomish","Inside WA","Inside WA",1975,65751,236157,1,"odd",1.2786219580117
"123",203,"Pink","Snohomish","Inside WA","Inside WA",1977,125990,397190,1,"odd",1.14821221689792
"125",203,"Pink","Snohomish","Inside WA","Inside WA",1979,180724,201209,1,"odd",0.10737316323322
"127",203,"Pink","Snohomish","Inside WA","Inside WA",1981,90096,264327,1,"odd",1.07631120452053
"129",203,"Pink","Snohomish","Inside WA","Inside WA",1983,198283,555572,1,"odd",1.03030291048501
"131",203,"Pink","Snohomish","Inside WA","Inside WA",1985,302192,240925,1,"odd",-0.226576895216139
"133",203,"Pink","Snohomish","Inside WA","Inside WA",1987,152418,324143,1,"odd",0.754558029932915
"135",203,"Pink","Snohomish","Inside WA","Inside WA",1989,80149,272505,1,"odd",1.22376956018745
"137",203,"Pink","Snohomish","Inside WA","Inside WA",1991,174000,110944,1,"odd",-0.450029729711916
"139",203,"Pink","Snohomish","Inside WA","Inside WA",1993,100000,118148,1,"odd",0.166767889867188
"141",203,"Pink","Snohomish","Inside WA","Inside WA",1995,101600,120046,1,"odd",0.166831467517546
"143",203,"Pink","Snohomish","Inside WA","Inside WA",1997,103537,238351,1,"odd",0.833815340408291
"145",203,"Pink","Snohomish","Inside WA","Inside WA",1999,237057,1132896,1,"odd",1.56423184656421
"147",203,"Pink","Snohomish","Inside WA","Inside WA",2001,1073369,1561630,1,"odd",0.374927847407961
"149",203,"Pink","Snohomish","Inside WA","Inside WA",2003,1392568,498797,1,"odd",-1.02670560429011
"151",203,"Pink","Snohomish","Inside WA","Inside WA",2005,482245,1185255,1,"odd",0.899260936626896
"153",203,"Pink","Snohomish","Inside WA","Inside WA",2007,1143695,2403012,1,"odd",0.742458701480003
"156",204,"Pink","Dungeness","Inside WA","Inside WA",1959,40000,82702,1,"odd",0.726364331420142
