"","stock.id","species","stock","region","sub.region","broodyear","spawners","recruits","use","odd_even","logR_S"
"158",204,"Pink","Dungeness","Inside WA","Inside WA",1961,70000,638063,1,"odd",2.20994178250186
"160",204,"Pink","Dungeness","Inside WA","Inside WA",1963,400000,99766,1,"odd",-1.38863710319837
"162",204,"Pink","Dungeness","Inside WA","Inside WA",1965,75000,201085,1,"odd",0.986239590704002
"164",204,"Pink","Dungeness","Inside WA","Inside WA",1967,95000,20071,1,"odd",-1.55460090442318
"166",204,"Pink","Dungeness","Inside WA","Inside WA",1969,14400,61248,1,"odd",1.44770298924853
"168",204,"Pink","Dungeness","Inside WA","Inside WA",1971,46000,71212,1,"odd",0.437019947053521
"170",204,"Pink","Dungeness","Inside WA","Inside WA",1973,47000,35802,1,"odd",-0.272143843942059
"172",204,"Pink","Dungeness","Inside WA","Inside WA",1975,24300,64885,1,"odd",0.982140121842691
"174",204,"Pink","Dungeness","Inside WA","Inside WA",1977,35700,115840,1,"odd",1.17705923985181
"176",204,"Pink","Dungeness","Inside WA","Inside WA",1979,50100,4987,1,"odd",-2.30718648152683
"178",204,"Pink","Dungeness","Inside WA","Inside WA",1981,2900,5692,1,"odd",0.674350943235178
"180",204,"Pink","Dungeness","Inside WA","Inside WA",1983,4888,6590,1,"odd",0.298770126645122
"182",204,"Pink","Dungeness","Inside WA","Inside WA",1985,4730,2309,1,"odd",-0.717110672131483
"184",204,"Pink","Dungeness","Inside WA","Inside WA",1987,1906,15710,1,"odd",2.10929064703552
"186",204,"Pink","Dungeness","Inside WA","Inside WA",1989,10902,13918,1,"odd",0.244236707780569
"188",204,"Pink","Dungeness","Inside WA","Inside WA",1991,9895,1857,1,"odd",-1.67306729668396
"190",204,"Pink","Dungeness","Inside WA","Inside WA",1993,1695,9534,1,"odd",1.72718161595022
"192",204,"Pink","Dungeness","Inside WA","Inside WA",1995,8252,5634,1,"odd",-0.381635925754824
"194",204,"Pink","Dungeness","Inside WA","Inside WA",1997,4935,7312,1,"odd",0.393164161266404
"196",204,"Pink","Dungeness","Inside WA","Inside WA",1999,7306,81470,1,"odd",2.41153892594946
"198",204,"Pink","Dungeness","Inside WA","Inside WA",2001,80344,15433,1,"odd",-1.64980934217234
"200",204,"Pink","Dungeness","Inside WA","Inside WA",2003,15116,8747,1,"odd",-0.547043001049525
"202",204,"Pink","Dungeness","Inside WA","Inside WA",2005,8667,6352,1,"odd",-0.310752986207373
"204",204,"Pink","Dungeness","Inside WA","Inside WA",2007,6223,44184,1,"odd",1.96011062701181
"207",205,"Pink","Stillaguamish","Inside WA","Inside WA",1959,125000,222830,1,"odd",0.578095411596576
"209",205,"Pink","Stillaguamish","Inside WA","Inside WA",1961,125000,2287066,1,"odd",2.90671131507102
"211",205,"Pink","Stillaguamish","Inside WA","Inside WA",1963,640000,326268,1,"odd",-0.673749046824963
"213",205,"Pink","Stillaguamish","Inside WA","Inside WA",1965,185000,250930,1,"odd",0.304818190695804
"215",205,"Pink","Stillaguamish","Inside WA","Inside WA",1967,105000,116156,1,"odd",0.100973765064347
"217",205,"Pink","Stillaguamish","Inside WA","Inside WA",1969,75000,308532,1,"odd",1.41433745214453
"219",205,"Pink","Stillaguamish","Inside WA","Inside WA",1971,200000,66120,1,"odd",-1.10684609359521
"221",205,"Pink","Stillaguamish","Inside WA","Inside WA",1973,35000,57699,1,"odd",0.499891780851926
"223",205,"Pink","Stillaguamish","Inside WA","Inside WA",1975,30000,71236,1,"odd",0.864800926951604
"225",205,"Pink","Stillaguamish","Inside WA","Inside WA",1977,38000,296768,1,"odd",2.05536452904261
"227",205,"Pink","Stillaguamish","Inside WA","Inside WA",1979,135000,46163,1,"odd",-1.07309616701594
"229",205,"Pink","Stillaguamish","Inside WA","Inside WA",1981,18000,168102,1,"odd",2.23419918012758
"231",205,"Pink","Stillaguamish","Inside WA","Inside WA",1983,126100,377234,1,"odd",1.09579044158416
"233",205,"Pink","Stillaguamish","Inside WA","Inside WA",1985,200000,188124,1,"odd",-0.0612160466736424
"235",205,"Pink","Stillaguamish","Inside WA","Inside WA",1987,119000,339922,1,"odd",1.04959268641507
"237",205,"Pink","Stillaguamish","Inside WA","Inside WA",1989,70400,136527,1,"odd",0.662329134098544
"239",205,"Pink","Stillaguamish","Inside WA","Inside WA",1991,86000,122038,1,"odd",0.34998517539119
"241",205,"Pink","Stillaguamish","Inside WA","Inside WA",1993,110000,246959,1,"odd",0.808741965154546
"243",205,"Pink","Stillaguamish","Inside WA","Inside WA",1995,208000,102695,1,"odd",-0.705774649443706
"245",205,"Pink","Stillaguamish","Inside WA","Inside WA",1997,88572,225711,1,"odd",0.935439639321805
"247",205,"Pink","Stillaguamish","Inside WA","Inside WA",1999,224486,817218,1,"odd",1.2920925446966
"249",205,"Pink","Stillaguamish","Inside WA","Inside WA",2001,774279,206823,1,"odd",-1.32006891873545
"251",205,"Pink","Stillaguamish","Inside WA","Inside WA",2003,184433,121925,1,"odd",-0.413880152300413
"253",205,"Pink","Stillaguamish","Inside WA","Inside WA",2005,117879,248664,1,"odd",0.746443912987307
"255",205,"Pink","Stillaguamish","Inside WA","Inside WA",2007,239896,1186319,1,"odd",1.59840501863094
"258",206,"Pink","Skagit","Inside WA","Inside WA",1959,200000,666288,1,"odd",1.20340464295283
"260",206,"Pink","Skagit","Inside WA","Inside WA",1961,400000,5008208,1,"odd",2.52736889835578
"262",206,"Pink","Skagit","Inside WA","Inside WA",1963,1190000,286529,1,"odd",-1.42386883343286
"264",206,"Pink","Skagit","Inside WA","Inside WA",1965,150000,259609,1,"odd",0.548541358853842
"266",206,"Pink","Skagit","Inside WA","Inside WA",1967,100000,154488,1,"odd",0.434946237430333
"268",206,"Pink","Skagit","Inside WA","Inside WA",1969,100000,502008,1,"odd",1.61344586983164
"270",206,"Pink","Skagit","Inside WA","Inside WA",1971,300555,510748,1,"odd",0.530245552366163
"272",206,"Pink","Skagit","Inside WA","Inside WA",1973,251181,206471,1,"odd",-0.19601382808705
"274",206,"Pink","Skagit","Inside WA","Inside WA",1975,103135,927005,1,"odd",2.19592014964401
"276",206,"Pink","Skagit","Inside WA","Inside WA",1977,504924,1109206,1,"odd",0.786991800130657
"278",206,"Pink","Skagit","Inside WA","Inside WA",1979,300384,393868,1,"odd",0.270954171629101
"280",206,"Pink","Skagit","Inside WA","Inside WA",1981,100268,553965,1,"odd",1.70925490666473
"282",206,"Pink","Skagit","Inside WA","Inside WA",1983,470128,1294798,1,"odd",1.01310497935908
"284",206,"Pink","Skagit","Inside WA","Inside WA",1985,710030,1137568,1,"odd",0.471340706594287
"286",206,"Pink","Skagit","Inside WA","Inside WA",1987,593535,1396007,1,"odd",0.855275113126642
"288",206,"Pink","Skagit","Inside WA","Inside WA",1989,401300,681726,1,"odd",0.529918540312816
"290",206,"Pink","Skagit","Inside WA","Inside WA",1991,351000,738137,1,"odd",0.743343220762586
"292",206,"Pink","Skagit","Inside WA","Inside WA",1993,530000,1596373,1,"odd",1.10261245343101
"294",206,"Pink","Skagit","Inside WA","Inside WA",1995,857000,121226,1,"odd",-1.95578134651686
"296",206,"Pink","Skagit","Inside WA","Inside WA",1997,60000,352636,1,"odd",1.77109180122536
"298",206,"Pink","Skagit","Inside WA","Inside WA",1999,320000,1102825,1,"odd",1.23730935266729
"300",206,"Pink","Skagit","Inside WA","Inside WA",2001,894061,801701,1,"odd",-0.109038285110454
"302",206,"Pink","Skagit","Inside WA","Inside WA",2003,567080,80328,1,"odd",-1.9543821346723
"304",206,"Pink","Skagit","Inside WA","Inside WA",2005,60000,312336,1,"odd",1.64973496919864
"306",206,"Pink","Skagit","Inside WA","Inside WA",2007,300000,1556928,1,"odd",1.646687453334
"309",207,"Pink","Nooksack","Inside WA","Inside WA",1959,30000,197698,1,"odd",1.88554323212536
"311",207,"Pink","Nooksack","Inside WA","Inside WA",1961,100000,591699,1,"odd",1.7778278736475
"313",207,"Pink","Nooksack","Inside WA","Inside WA",1963,150000,33721,1,"odd",-1.49251450541182
"315",207,"Pink","Nooksack","Inside WA","Inside WA",1965,12500,69430,1,"odd",1.71459040645693
"317",207,"Pink","Nooksack","Inside WA","Inside WA",1967,20000,42663,1,"odd",0.757599760504678
"319",207,"Pink","Nooksack","Inside WA","Inside WA",1969,15000,104304,1,"odd",1.93925951107997
"321",207,"Pink","Nooksack","Inside WA","Inside WA",1971,40000,149130,1,"odd",1.31593895466075
"323",207,"Pink","Nooksack","Inside WA","Inside WA",1973,75000,107173,1,"odd",0.356956237705264
"325",207,"Pink","Nooksack","Inside WA","Inside WA",1975,36000,48009,1,"odd",0.287869554875853
"327",207,"Pink","Nooksack","Inside WA","Inside WA",1977,25000,176743,1,"odd",1.95582087516383
"329",207,"Pink","Nooksack","Inside WA","Inside WA",1979,31406,76096,1,"odd",0.884996743605555
"331",207,"Pink","Nooksack","Inside WA","Inside WA",1981,15000,90925,1,"odd",1.80198478977084
"333",207,"Pink","Nooksack","Inside WA","Inside WA",1983,60000,42862,1,"odd",-0.336358909709617
"335",207,"Pink","Nooksack","Inside WA","Inside WA",1985,23000,42325,1,"odd",0.609883712090049
"337",207,"Pink","Nooksack","Inside WA","Inside WA",1987,37003,198072,1,"odd",1.67763161052008
"339",207,"Pink","Nooksack","Inside WA","Inside WA",1989,136000,54490,1,"odd",-0.914637687141045
"341",207,"Pink","Nooksack","Inside WA","Inside WA",1991,24002,58215,1,"odd",0.88600589327973
"343",207,"Pink","Nooksack","Inside WA","Inside WA",1993,56004,247062,1,"odd",1.48421620051977
"345",207,"Pink","Nooksack","Inside WA","Inside WA",1995,220020,31053,1,"odd",-1.95802302924157
"347",207,"Pink","Nooksack","Inside WA","Inside WA",1997,26000,97446,1,"odd",1.32120184039904
"349",207,"Pink","Nooksack","Inside WA","Inside WA",1999,95000,244059,1,"odd",0.943533107741649
"351",207,"Pink","Nooksack","Inside WA","Inside WA",2001,226000,61158,1,"odd",-1.30707431985796
"353",207,"Pink","Nooksack","Inside WA","Inside WA",2003,51011,17693,1,"odd",-1.05887221461103
"355",207,"Pink","Nooksack","Inside WA","Inside WA",2005,13627,20357,1,"odd",0.401371714317225
"357",207,"Pink","Nooksack","Inside WA","Inside WA",2007,18994,55265,1,"odd",1.06801665694216
"360",208,"Pink","Fraser","Fraser River","BC South",1961,1094000,2320000,1,"odd",0.751726481678429
"362",208,"Pink","Fraser","Fraser River","BC South",1963,1953000,12963000,1,"odd",1.89273249372336
"364",208,"Pink","Fraser","Fraser River","BC South",1965,1191000,3931000,1,"odd",1.19410055606656
"366",208,"Pink","Fraser","Fraser River","BC South",1967,1831000,9763000,1,"odd",1.67373746455116
"368",208,"Pink","Fraser","Fraser River","BC South",1969,1529000,6801000,1,"odd",1.49245573324658
"370",208,"Pink","Fraser","Fraser River","BC South",1971,1804000,4894000,1,"odd",0.998003543380048
"372",208,"Pink","Fraser","Fraser River","BC South",1973,1754000,8209000,1,"odd",1.54333221941614
"374",208,"Pink","Fraser","Fraser River","BC South",1975,1367000,14404000,1,"odd",2.35488738804482
"376",208,"Pink","Fraser","Fraser River","BC South",1977,2388000,18685000,1,"odd",2.05726486740709
"378",208,"Pink","Fraser","Fraser River","BC South",1979,3561000,15346000,1,"odd",1.46081344945983
"380",208,"Pink","Fraser","Fraser River","BC South",1981,4488000,19104000,1,"odd",1.4484905689898
"382",208,"Pink","Fraser","Fraser River","BC South",1983,4632000,7172000,1,"odd",0.437195815472192
"384",208,"Pink","Fraser","Fraser River","BC South",1985,6461000,16484000,1,"odd",0.936606108900542
"386",208,"Pink","Fraser","Fraser River","BC South",1987,3224000,22180000,1,"odd",1.92856815727784
"388",208,"Pink","Fraser","Fraser River","BC South",1989,7189000,16983000,1,"odd",0.859660763720898
"390",208,"Pink","Fraser","Fraser River","BC South",1991,12949000,12904000,1,"odd",-0.00348122426379523
"392",208,"Pink","Fraser","Fraser River","BC South",1993,10768000,8176000,1,"odd",-0.275375739441023
"394",208,"Pink","Fraser","Fraser River","BC South",1995,7175000,3586000,1,"odd",-0.693565386462744
"396",208,"Pink","Fraser","Fraser River","BC South",1997,2842000,21174000,1,"odd",2.00826598424628
"398",208,"Pink","Fraser","Fraser River","BC South",1999,3422000,26000000,1,"odd",2.02787136255148
"400",208,"Pink","Fraser","Fraser River","BC South",2001,19725000,10000000,1,"odd",-0.679301773737892
"401",209,"Pink","BC South (no Fraser)","BC South","BC South",1953,774700,810000,1,"odd",0.0445583900286276
"403",209,"Pink","BC South (no Fraser)","BC South","BC South",1955,810000,1134900,1,"odd",0.337265572640609
"405",209,"Pink","BC South (no Fraser)","BC South","BC South",1957,1134900,2475602,1,"odd",0.779939057442744
"407",209,"Pink","BC South (no Fraser)","BC South","BC South",1959,966876,2911893,1,"odd",1.10248840854933
"409",209,"Pink","BC South (no Fraser)","BC South","BC South",1961,1093450,3695214,1,"odd",1.21770063347374
"411",209,"Pink","BC South (no Fraser)","BC South","BC South",1963,1703102,1044764,1,"odd",-0.488660271600016
"413",209,"Pink","BC South (no Fraser)","BC South","BC South",1965,618775,1092892,1,"odd",0.568840955574374
"415",209,"Pink","BC South (no Fraser)","BC South","BC South",1967,346110,332153,1,"odd",-0.0411609374730201
"417",209,"Pink","BC South (no Fraser)","BC South","BC South",1969,214050,1589721,1,"odd",2.00510417552825
"419",209,"Pink","BC South (no Fraser)","BC South","BC South",1971,925850,2187305,1,"odd",0.859713236917341
"421",209,"Pink","BC South (no Fraser)","BC South","BC South",1973,1167313,2243271,1,"odd",0.653230542143886
"423",209,"Pink","BC South (no Fraser)","BC South","BC South",1975,1553480,758891,1,"odd",-0.716394697525547
"425",209,"Pink","BC South (no Fraser)","BC South","BC South",1977,271014,709977,1,"odd",0.963062095082508
"427",209,"Pink","BC South (no Fraser)","BC South","BC South",1979,285677,1987123,1,"odd",1.93958134103042
"429",209,"Pink","BC South (no Fraser)","BC South","BC South",1981,1101723,2814116,1,"odd",0.937772862329021
"431",209,"Pink","BC South (no Fraser)","BC South","BC South",1983,1578116,1968397,1,"odd",0.220987775433025
"433",209,"Pink","BC South (no Fraser)","BC South","BC South",1985,942297,947566,1,"odd",0.00557608001454647
"435",209,"Pink","BC South (no Fraser)","BC South","BC South",1987,470566,1626840,1,"odd",1.24045853638986
"437",209,"Pink","BC South (no Fraser)","BC South","BC South",1989,448840,809628,1,"odd",0.589908406118726
"439",209,"Pink","BC South (no Fraser)","BC South","BC South",1991,419862,1387174,1,"odd",1.19509777720197
"441",209,"Pink","BC South (no Fraser)","BC South","BC South",1993,668427,461637,1,"odd",-0.37014832291768
"443",209,"Pink","BC South (no Fraser)","BC South","BC South",1995,305978,639179,1,"odd",0.736671336402472
"445",209,"Pink","BC South (no Fraser)","BC South","BC South",1997,436875,829321,1,"odd",0.640960180709669
"447",209,"Pink","BC South (no Fraser)","BC South","BC South",1999,827921,2550996,1,"odd",1.12532141092268
"449",209,"Pink","BC South (no Fraser)","BC South","BC South",2001,2166806,762241,1,"odd",-1.0447466941915
"451",209,"Pink","BC South (no Fraser)","BC South","BC South",2003,503333,825962,1,"odd",0.495296788731122
"453",209,"Pink","BC South (no Fraser)","BC South","BC South",2005,747203,801891,1,"odd",0.0706357865095779
"455",209,"Pink","BC South (no Fraser)","BC South","BC South",2007,784977,3106413,1,"odd",1.37556954532716
"800",221,"Pink","S SEAK","SEAK","SEAK",1961,3051815,11375279,1,"odd",1.31570599641328
"802",221,"Pink","S SEAK","SEAK","SEAK",1963,6239135,11499633,1,"odd",0.611473570838919
"804",221,"Pink","S SEAK","SEAK","SEAK",1965,5789175,4335653,1,"odd",-0.289117561126345
"806",221,"Pink","S SEAK","SEAK","SEAK",1967,3694113,5491593,1,"odd",0.396477905911091
"808",221,"Pink","S SEAK","SEAK","SEAK",1969,4292453,13509162,1,"odd",1.14650975752165
"810",221,"Pink","S SEAK","SEAK","SEAK",1971,7249918,10606553,1,"odd",0.380481859195831
"812",221,"Pink","S SEAK","SEAK","SEAK",1973,6048048,11491835,1,"odd",0.641901207846163
"814",221,"Pink","S SEAK","SEAK","SEAK",1975,8158853,23897761,1,"odd",1.07468117717014
"816",221,"Pink","S SEAK","SEAK","SEAK",1977,12599508,15575736,1,"odd",0.212056553197711
"818",221,"Pink","S SEAK","SEAK","SEAK",1979,8585955,25227802,1,"odd",1.07781891164973
"820",221,"Pink","S SEAK","SEAK","SEAK",1981,11702868,47769995,1,"odd",1.40656378276383
"822",221,"Pink","S SEAK","SEAK","SEAK",1983,16308113,55599110,1,"odd",1.22650447988663
"824",221,"Pink","S SEAK","SEAK","SEAK",1985,24886955,15904992,1,"odd",-0.447710748392594
"826",221,"Pink","S SEAK","SEAK","SEAK",1987,11273663,64093613,1,"odd",1.73787542035026
"828",221,"Pink","S SEAK","SEAK","SEAK",1989,18330133,57573643,1,"odd",1.14451855848151
"830",221,"Pink","S SEAK","SEAK","SEAK",1991,14076368,55400184,1,"odd",1.37008555213892
"832",221,"Pink","S SEAK","SEAK","SEAK",1993,16181233,60780765,1,"odd",1.32342125986807
"834",221,"Pink","S SEAK","SEAK","SEAK",1995,19465300,30225545,1,"odd",0.440054034547127
"836",221,"Pink","S SEAK","SEAK","SEAK",1997,14927440,67046610,1,"odd",1.50218691916171
"838",221,"Pink","S SEAK","SEAK","SEAK",1999,28189610,79477238,1,"odd",1.0365171958619
"840",221,"Pink","S SEAK","SEAK","SEAK",2001,27465698,53720970,1,"odd",0.670865547446613
"842",221,"Pink","S SEAK","SEAK","SEAK",2003,24443423,52353479,1,"odd",0.761657209871479
"844",221,"Pink","S SEAK","SEAK","SEAK",2005,23489198,58255286,1,"odd",0.908294179209887
"846",221,"Pink","S SEAK","SEAK","SEAK",2007,26478430,44429724,1,"odd",0.517578265628744
"851",222,"Pink","N SEAK Outside","SEAK","SEAK",1961,875088,3349217,1,"odd",1.34215741342718
"853",222,"Pink","N SEAK Outside","SEAK","SEAK",1963,2049505,1566842,1,"odd",-0.268536171899183
"855",222,"Pink","N SEAK Outside","SEAK","SEAK",1965,948288,626930,1,"odd",-0.413823361929085
"857",222,"Pink","N SEAK Outside","SEAK","SEAK",1967,500073,1189566,1,"odd",0.866589725936628
"859",222,"Pink","N SEAK Outside","SEAK","SEAK",1969,1052220,665671,1,"odd",-0.457861942418092
"861",222,"Pink","N SEAK Outside","SEAK","SEAK",1971,573925,1150367,1,"odd",0.695337575119158
"863",222,"Pink","N SEAK Outside","SEAK","SEAK",1973,891608,1826656,1,"odd",0.717215677735916
"865",222,"Pink","N SEAK Outside","SEAK","SEAK",1975,1260848,6468894,1,"odd",1.63522064062466
"867",222,"Pink","N SEAK Outside","SEAK","SEAK",1977,4270718,5872272,1,"odd",0.318459648777461
"869",222,"Pink","N SEAK Outside","SEAK","SEAK",1979,4060198,6424193,1,"odd",0.458839278882307
"871",222,"Pink","N SEAK Outside","SEAK","SEAK",1981,3676025,5645863,1,"odd",0.429091059229724
"873",222,"Pink","N SEAK Outside","SEAK","SEAK",1983,3089278,10032670,1,"odd",1.17790936129467
"875",222,"Pink","N SEAK Outside","SEAK","SEAK",1985,4401620,1483886,1,"odd",-1.08730833259268
"877",222,"Pink","N SEAK Outside","SEAK","SEAK",1987,1055085,2014204,1,"odd",0.646602747727121
"879",222,"Pink","N SEAK Outside","SEAK","SEAK",1989,1103323,2178632,1,"odd",0.6803706217722
"881",222,"Pink","N SEAK Outside","SEAK","SEAK",1991,1804080,2128693,1,"odd",0.165457409803926
"883",222,"Pink","N SEAK Outside","SEAK","SEAK",1993,1071388,5134410,1,"odd",1.56700993491548
"885",222,"Pink","N SEAK Outside","SEAK","SEAK",1995,3379848,7595470,1,"odd",0.80972127888119
"887",222,"Pink","N SEAK Outside","SEAK","SEAK",1997,4837720,8007840,1,"odd",0.503977526435355
"889",222,"Pink","N SEAK Outside","SEAK","SEAK",1999,5364505,7936232,1,"odd",0.391634496278695
