"","stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ts.length","ts.start","ts.end","logA","b","K","rmax","sigma","ar1","ar1.l95","ar1.u95","p_S_belowK","logA2","b2","K2","rmax2","sigma2","acf_1","acf_2","acf_3","acf_4","m.spawners","sd.spawners"
"26",226,"Pink","PWS_odd","PWS","PWS","AK",60.5,-147,"8","",25,1961,2009,1.12602471489342,6.21159486789096e-08,16098925.0147206,18261174.8901372,0.490394814031,0.0349441718105028,-0.364064511384856,0.42311506576365,1,1.11472043225832,5.98654857150737e-08,16704115.7029852,18734665.3650187,0.490373945646717,0.0311549718741487,0.0510093638395979,-0.060886282743119,-0.0281789302489075,5012929,2519610.73874307
"35",235,"Pink","Chignik Bay_odd","Chignik","Chignik","AK",56.38528,-158.2261,"11, 12","",21,1963,2009,2.50117795827899,1.92147424633353e-05,52043.3725254531,233517.125312988,1.17092296147336,0.466759621999789,0.000185487078163277,0.766444892618622,0.793103448275862,2.58337216934981,1.85679512681388e-05,53856.2378562423,262352.863234882,1.1625174571129,0.419830968971731,-0.0963733283644482,-0.18985525354946,0.0596456901091585,37311.1428571429,55137.9468363537
"36",236,"Pink","Central Chig_odd","Chignik","Chignik","AK",56.59639,-157.9933,"11, 12","",24,1963,2009,0.870426024037832,9.78723508177214e-07,1021739.02194544,897566.670299611,0.837310579285307,0.15485216258323,-0.284359990111193,0.540339746661466,1,0.811969485250922,7.14635610778941e-07,1399314.53865001,1159457.22568378,0.836175459254616,0.133536271975878,-0.445148750691084,-0.255773918153229,0.363358460444407,218733.75,209135.241115959
"37",237,"Pink","E Chig_odd","Chignik","Chignik","AK",56.98528,-156.5806,"11, 12","",24,1963,2009,0.544109832628593,6.49532777119339e-07,1539568.18689732,975906.800535342,0.793029887265139,-0.21354239236461,-0.577145563549522,0.220719002451624,1,0.608540837384542,8.11006252249431e-07,1233036.11683186,833618.306853293,0.789950158597771,-0.160839112778528,0.0731411411824243,-0.212033795365788,0.336194866119087,437643.75,493151.731027846
"38",238,"Pink","W Chig_odd","Chignik","Chignik","AK",56.06667,-158.6756,"11, 12","",24,1963,2009,1.87407623421803,4.43476978614451e-06,225490.848053553,540424.967663496,0.831937711173064,0.150720399047305,-0.253108788502052,0.509820066893486,1,1.82510493093184,4.168689142713e-06,239883.561898117,547443.126517684,0.832007887211663,0.145381010451269,-0.175362513377685,-0.00437090719472686,0.0108235309669422,186189.583333333,134127.799196178
"39",239,"Pink","Perryville_odd","Chignik","Chignik","AK",55.85417,-159.3314,"11, 12","",24,1963,2009,0.945253200313216,1.85099355155537e-06,540250.396420728,511468.463969638,0.741212936633767,0.0160367713012335,-0.42218584296449,0.448183843983621,1,0.936037338499587,1.80436760567457e-06,554210.792110817,519871.904668341,0.741190033678143,0.0115476911742739,-0.0196095345456202,-0.120294469383192,-0.256636357854848,179131.25,130128.21086754
"40",240,"Pink","SE-SC AKPen_odd","AK Peninsula","AK Peninsula","AK",55.5,-161,"10","Sum of Southeastern and Southcentral Districts",24,1963,2009,1.26687472729208,1.47442985444101e-07,6782282.63615241,8856825.85320379,0.863692993895633,-0.0272684010023123,-0.432065396805616,0.386673719142159,1,1.28319353312273,1.5592472009426e-07,6413351.25947624,8512838.91788236,0.863653614545624,-0.0226955837549666,-0.0660455125650576,0.171861670334105,-0.0253905473103378,1879707.83333333,1275775.7727663
"41",241,"Pink","SW-Unimak_odd","AK Peninsula","AK Peninsula","AK",54.5,-163.5,"10","Sum of Southwestern and Unimak Districts",24,1963,2009,1.00713565749077,3.07388347722221e-07,3253213.75195287,3276510.59131267,1.02582380478303,-0.150156864713959,-0.531159732944064,0.281359160837527,1,1.08748605558917,4.23579395530161e-07,2360832.49221407,2576676.43078738,1.02405120526448,-0.118200497981252,-0.009712577212221,0.236182083625365,-0.0942469958279464,750325,603761.725991161
"42",242,"Pink","NW AKPen_odd","AK Peninsula","AK Peninsula","AK",54.982,-163.37,"10","",24,1963,2009,0.789907260971394,1.37663536549142e-05,72640.8768122142,58876.0899928573,1.44797606615721,0.134274164296016,-0.308074655590974,0.528885604180587,0.896551724137931,0.747400728928215,7.7369502532759e-06,129249.893984596,100398.615977824,1.44596916266803,0.109203506191122,-0.315344288038172,-0.102603641093676,0.0338579007091769,7599.5,14859.965969298
"43",243,"Pink","Nushagak","Bristol Bay","Bristol Bay","AK",58.62222,-158.5911,"13","",23,1958,2002,0.944308331246199,3.29682899609455e-07,3033217.68033649,2868910.46281407,1.29908359166232,-0.0450153355581983,-0.520536025614619,0.451818728637932,1,0.963440870822556,3.47335798050789e-07,2879058.26468764,2775703.19879833,1.29859909378393,-0.0264766405955731,0.0600029649032929,0.0839598056026751,-0.181186874103087,1313183.39130435,2012265.20502094
"45",245,"Pink","Nome_odd","AYK","AYK","AK",64.4828,-165.305,"14, 15","",20,1971,2009,0.658162325188143,2.48014682250075e-06,403201.93584011,286460.267202223,1.77937251816826,-0.200982521311309,-0.607013076244914,0.2882582561694,1,0.786119095846414,3.3277177389049e-06,300506.256377707,242642.136725675,1.77183307181952,-0.144651324236609,-0.233440756366385,0.123913412677609,-0.337250416621648,155715.15,237498.989871819
"46",246,"Pink","Moses-Norton_odd","AYK","AYK","AK",65.748,-161.78,"14, 15","Sum of Moses Point and Norton Bay Subdistricts",24,1963,2009,0.710212321675452,3.99750192359909e-06,250156.227342016,187222.538306204,1.33292105612446,-0.00778792354644071,-0.41455111986056,0.401568985011426,1,0.711816452921672,4.01619245425999e-06,248992.051897139,186650.415002648,1.33291618026846,-0.00652347171398866,-0.161776889089375,-0.305464774865801,-0.146344281321206,126181.083333333,187945.187755903
"91",247,"Pink","BC South (no Fraser)_even","BC South","BC South","BC",50.28778,-125.2008,"3","Statistical Areas 11-16",28,1954,2008,1.3728824861561,5.67788961557931e-07,1761217.75466741,2557136.20402621,0.690097292675088,0.187856830484044,-0.235064070664392,0.5509695141305,1,1.28641590590076,5.02661259796972e-07,1989411.31927276,2649191.98296161,0.68781216595658,0.148446295648365,0.0645844875673379,-0.292616601159892,-0.218149830033046,1350389.46428571,1033585.72890648
"211",257,"Pink","S SEAK_even","SEAK","SEAK","AK",55.71556,-131.8714,"5, 6","Districts 101-108",25,1960,2008,1.71906931064451,6.50892872908945e-08,15363511.2876692,31533945.8524317,0.484728251774485,0.198535343223698,-0.523353310089692,0.754517416732578,1,1.56625654774659,5.35757621934271e-08,18665156.7622996,32881660.107737,0.477915866412698,0.0530888978833989,0.0595435160394401,0.32682591009761,-0.141010737834339,12685337.96,7016758.66043023
"221",258,"Pink","N SEAK Outside_even","SEAK","SEAK","AK",57.17694,-135.7869,"5, 6","Districts 109-112, 114, 115",25,1960,2008,0.458086051690295,8.34978861859944e-09,119763510.871696,69658526.1723019,0.568618869192728,0.214149443652648,-0.195236820824291,0.55998285506367,1,0.428330293981882,-7.84458050823363e-09,-127476542.429567,-71970956.8611497,0.568612237560035,0.207852889113016,-0.323054839647815,-0.225864492258839,-0.0131559342059393,1848001.96,1899251.91369415
"231",259,"Pink","N SEAK Inside_even","SEAK","SEAK","AK",57.57528,-134.7503,"5, 6","District 113",25,1960,2008,0.773945983526514,2.29139321524191e-08,43641571.1344605,34811790.8181261,0.640791548275249,-0.000978687703889842,-0.424791784692805,0.423186280478705,1,0.774525478363577,2.29946274014681e-08,43488419.3833971,34709733.7777531,0.640791481800717,-0.00072834051460775,-0.0322228493627278,-0.242459452210788,-0.0743442871937066,6982647.04,3892266.81711072
"261",262,"Pink","PWS_even","PWS","PWS","AK",60.5,-147,"8","",25,1960,2008,1.42958845266988,1.97113796468818e-07,5073211.60626213,7795623.78185718,0.642677971921557,0.126941880840446,-0.298689105883641,0.510451737165998,1,1.3490191179173,1.76975023282203e-07,5650514.86618767,8010600.96960924,0.641951263286488,0.104402998518673,0.240052913919692,0.0224918092298601,-0.441524426493838,3790720.64,1796374.38110856
"351",271,"Pink","Chignik Bay_even","Chignik","Chignik","AK",56.38528,-158.2261,"11, 12","",22,1962,2008,2.83199244957094,4.28621603835403e-05,23330.6018887469,145730.399248788,0.954231800574044,0.293468738899458,-0.123694430301392,0.622481676750926,0.137931034482759,2.85262861421106,4.32794109106554e-05,23105.6749377751,147334.700071394,0.95781223480362,0.303591177253205,0.0870464673706078,0.0795128383735959,0.0896946392552106,30948.1363636364,25289.0883627428
"361",272,"Pink","Central Chig_even","Chignik","Chignik","AK",56.59639,-157.9933,"11, 12","",24,1962,2008,1.2330845118721,5.18510016280696e-06,192860.305220922,243483.853815119,0.992667937340285,-0.0734032530285224,-0.534115978794662,0.42092477894727,1,1.31535221285089,5.89462953621159e-06,169645.945323086,232540.825590085,0.991591119070446,-0.0396803198042618,0.00144139112096966,0.0567252136167663,-0.0313358936126528,115315.833333333,73106.5568739974
"371",273,"Pink","E Chig_even","Chignik","Chignik","AK",56.98528,-156.5806,"11, 12","",24,1962,2008,0.734490617284085,7.63041359600871e-07,1310544.94938921,1004945.8504364,0.756785657571519,-0.264865832770929,-0.61762434573849,0.176615340668391,1,0.833395923850253,9.35179994728964e-07,1069312.86558351,905210.454724059,0.752776248640737,-0.209840022655633,-0.0393053549117489,0.0289677155801521,-0.302696149943237,560255.833333333,361154.243224796
"381",274,"Pink","W Chig_even","Chignik","Chignik","AK",56.06667,-158.6756,"11, 12","",24,1962,2008,2.56364022332768,1.13731721546625e-05,87926.2167494794,419951.084947742,0.881739948623694,0.0400756504290158,-0.422349676039343,0.485948562940238,0.931034482758621,2.52876060755399,1.11031425151687e-05,90064.591950778,415419.024662762,0.881529830407208,0.0265145352383111,-0.00532226912242623,-0.143176196151498,-0.155410120148654,130412.541666667,80187.6342049664
"391",275,"Pink","Perryville_even","Chignik","Chignik","AK",55.85417,-159.3314,"11, 12","",24,1962,2008,1.1562387148348,4.85717036090632e-06,205881.187130814,240696.777275688,0.983490961077892,-0.3342491153807,-0.680843048455195,0.134652703935281,1,1.27123039121775,5.97619863005794e-06,167330.448986483,219466.803672176,0.971464381354431,-0.25020861085147,0.051059202181015,-0.146668157669306,0.118861428826576,124853.75,80084.5471612454
"401",276,"Pink","SE-SC AKPen_even","AK Peninsula","AK Peninsula","AK",55.5,-161,"10","Sum of Southeastern and Southcentral Districts",24,1962,2008,1.32250398302522,2.52612425564195e-07,3958633.45900962,5465211.72365803,0.919069311348532,-0.135144574050151,-0.603005454238206,0.401892181121288,1,1.42738251398664,3.21986876168428e-07,3105716.64255319,4761805.98783971,0.914956098319524,-0.0611642514734853,-0.0611219161761456,0.114016219868376,0.0704038583422017,1638669.16666667,1181906.159903
"411",277,"Pink","SW-Unimak_even","AK Peninsula","AK Peninsula","AK",54.5,-163.5,"10","Sum of Southwestern and Unimak Districts",24,1962,2008,1.18954175946348,5.07862077370966e-07,1969038.53340787,2379968.20647099,1.10615875717782,-0.0795247754243461,-0.556199675215135,0.436523273696361,1,1.27570878798439,6.0732167953853e-07,1646573.85647725,2169302.02091562,1.10454122790867,-0.0379573521486227,-0.0108472765816006,0.0840090315177269,0.0374436619672882,916253.958333333,607775.238291582
"421",278,"Pink","NW AKPen_even","AK Peninsula","AK Peninsula","AK",54.982,-163.37,"10","",23,1962,2008,0.880990744317123,8.83396073263334e-06,113199.507023607,100498.475191645,1.31164296503425,-0.182649969588703,-0.534937819840778,0.223741675573155,0.931034482758621,0.91528434029698,9.42011649106255e-06,106155.799766251,97533.1348039046,1.31280729807589,-0.183844638783351,-0.235796970852388,0.0891959502539099,-0.162074539248403,50748.4782608696,53986.2533730659
"461",281,"Pink","Moses-Norton_even","AYK","AYK","AK",65.748,-161.78,"14, 15","Sum of Moses Point and Norton Bay Subdistricts",23,1964,2008,1.24984196314935,2.31314549910315e-06,432311.75919877,555011.567532751,0.937365542078108,0.403905937197779,-0.296102325520965,0.821644151340916,1,0.937942358503302,1.58285572135226e-06,631769.520437201,593755.134734093,0.880103884253929,0.0971273867919326,0.129949491950687,-0.174617485480079,-0.219358591523245,490885.173913043,417135.697012119
