"","stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ts.length","ts.start","ts.end","logA","b","K","rmax","sigma","ar1","ar1.l95","ar1.u95","p_S_belowK","logA2","b2","K2","rmax2","sigma2","acf_1","acf_2","acf_3","acf_4","m.spawners","sd.spawners"
"1",201,"Pink","Puyallup","Inside WA","Inside WA","WA",47.26972,-122.4272,"1","",25,1959,2007,0.771740345595477,4.57022929995859e-07,2188074.02072596,1741526.55646236,0.896442996494369,0.0269428271822061,-0.352102023690148,0.398395221759949,1,0.769155067010653,4.23540038909605e-07,2361051.86790481,1874350.67633463,0.896457080170038,0.0270467079496972,-0.0769397627565241,-0.0261651800421689,0.0153808029199956,52980.04,98943.7116519118
"2",202,"Pink","Hood Canal","Inside WA","Inside WA","WA",47.5644,-122.9956,"1","Sum of Dosewallips, Duckabush, and Hamma Hamma",25,1959,2007,0.511066339428789,3.28053072382431e-06,304828.725650293,186945.364003509,1.12884735589387,-0.129336786462665,-0.609848807685184,0.420706387237426,1,0.585297557486661,4.34674848808763e-06,230057.019112222,151961.127023057,1.12361253867956,-0.0497247261595086,-0.0984001844607107,0.182299835143193,-0.118986289661118,75530.6,106005.521753586
"3",203,"Pink","Snohomish","Inside WA","Inside WA","WA",48.02139,-122.2072,"1","",25,1959,2007,0.777001361798763,6.53569124795277e-07,1530060.03812258,1224225.4239616,0.718149625385085,-0.198729891517263,-0.548515590169604,0.21025283928026,1,0.805811522669294,7.55476239187114e-07,1323668.36722223,1090044.44526305,0.717315611162798,-0.176489503077458,-0.264691100152616,0.0840352271561224,0.0815507753933987,279956.84,363583.118804889
"4",204,"Pink","Dungeness","Inside WA","Inside WA","WA",48.1508,-123.1333,"1","",25,1959,2007,0.372337115076828,2.72885195838314e-06,366454.470689757,195627.316229203,1.25663119042829,-0.391326162841202,-0.704802247792994,0.0500076199563866,1,0.527980145615458,5.83555683639336e-06,171363.252562894,106886.308588177,1.2339398239992,-0.273298254721701,-0.141533020031031,0.231620015007522,-0.25265815139823,42610.36,79552.7990880271
"5",205,"Pink","Stillaguamish","Inside WA","Inside WA","WA",48.23861,-122.3758,"1","",25,1959,2007,1.03339719178873,2.79773056960832e-06,357432.560112463,369571.376814681,0.887149946624888,-0.251096876044917,-0.602928882696787,0.182502196347595,1,1.13180640428574,3.32197854996994e-06,301025.423541356,343436.120916565,0.882628513616382,-0.198248934779693,-0.127891941923788,0.0220673121826846,0.176399409627174,170401.8,174273.497708583
"6",206,"Pink","Skagit","Inside WA","Inside WA","WA",48.3875,-122.3656,"1","",25,1959,2007,1.67038988511524,2.50973350648535e-06,398448.678880016,778966.927037686,0.839638401967335,-0.10825170227813,-0.488526995313737,0.306582211194023,1,1.72320337602661,2.63665628217994e-06,379268.244692561,781681.290366751,0.839104579658666,-0.0921136592074767,-0.286290170850183,0.042053455412218,0.218681539521987,392583.24,290288.485065185
"7",207,"Pink","Nooksack","Inside WA","Inside WA","WA",48.775,-122.5978,"1","",25,1959,2007,1.51509753544899,1.42610850984513e-05,70120.8914396421,117368.470721985,0.761743018009384,-0.0658677008862406,-0.445479579604879,0.333818931596131,0.896551724137931,1.53233287092231,1.45164862733773e-05,68887.1935789283,117308.024336359,0.761643423898504,-0.0592701113738523,-0.137057283144883,-0.077530566811554,0.0603930679294968,61462.68,61284.2478168466
"8",208,"Pink","Fraser","Fraser River","BC South","BC",49.12333,-123.0569,"2","",21,1961,2001,1.83496711228342,1.49588114623244e-07,6685023.08835579,15407228.4102718,0.567571837371309,0.0764230657725726,-0.361764938773741,0.486954084952733,1,1.8364872142901,1.49508546536795e-07,6688580.84145639,15438878.9424343,0.567471965618135,0.0682115359544048,-0.20444580668314,-0.258866726371763,-0.228594019694653,4826047.61904762,4685003.06804799
"9",209,"Pink","BC South (no Fraser)_odd","BC South","BC South","BC",50.28778,-125.2008,"3","Statistical Areas 11-16",28,1953,2007,1.37159527077756,9.43566797603976e-07,1059808.38085796,1536770.8891535,0.571836517059324,0.0320286546522568,-0.383049846149839,0.436345803463509,1,1.35610326272021,9.25135676911961e-07,1080922.53380383,1543292.52470309,0.571761385591266,0.0227152342963967,-0.0662467084298662,-0.538056796691024,0.242927918015889,831007.892857143,483308.661726287
"21",221,"Pink","S SEAK_odd","SEAK","SEAK","AK",55.71556,-131.8714,"5, 6","Districts 101-108",24,1961,2007,0.852171507098769,8.80425442721795e-10,1135814518.15902,979729797.469991,0.536349786690692,-0.116820174404139,-0.557149727424682,0.374784842249434,1,0.926905703133913,6.06348693471045e-09,164921605.466897,153296805.241327,0.534871890746484,-0.0610496922759631,-0.108590399464638,0.177756580049306,0.128055531565166,14288641.875,8205105.82667312
"22",222,"Pink","N SEAK Outside_odd","SEAK","SEAK","AK",57.17694,-135.7869,"5, 6","Districts 109-112, 114, 115",24,1961,2007,0.636648780661422,5.3578487235365e-08,18664207.438465,12978010.55738,0.604490882698711,-0.183789204944698,-0.574624894039955,0.275307302092216,1,0.726750522580631,8.35837230307818e-08,11964051.8959861,9103482.21228439,0.601684388896589,-0.119535242416809,0.0372718846687727,0.0664083933522401,-0.148766264603227,2905870.66666667,2009275.70901813
"23",223,"Pink","N SEAK Inside_odd","SEAK","SEAK","AK",57.57528,-134.7503,"5, 6","District 113",24,1961,2007,0.762108035471596,1.05941734459301e-08,94391507.2849939,74407678.2928291,0.595465796785374,-0.0311838699936286,-0.528240343477175,0.481790434150969,1,0.783382093680613,1.308749836705e-08,76408796.544164,61527234.9337996,0.595332652937955,-0.0152584276327461,-0.311184192962931,0.375419186187936,0.367628884100698,8279893.54166667,5328199.2139984
