"","stock.id","species","stock","date.data.obtained","date.data.incorporated","ocean.region","region","sub.region","jurisdiction","lat","lon","source.id","comment..we.will.update.this.later.","ts.length","ts.start","ts.end","logA","b","K","rmax","sigma","ar1","ar1.l95","ar1.u95","p_S_belowK","logA2","b2","K2","rmax2","sigma2","acf_1","acf_2","acf_3","acf_4","m.spawners","sd.spawners"
"1",101,"Sockeye","Washington","3/1/17","9/12/17","WC","WA","WA","WA",47.48,-122.42,1,"Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake.",44,1968,2011,0.351650693791346,2.09305686793581e-06,477770.10520799,249829.918201538,0.960832265159878,0.315119327301337,0.0147801045184877,0.563302037897963,1,0.312840038512095,1.83114549048887e-06,546106.25162997,274692.858518743,0.961730993244248,0.313582381234475,0.179729821331446,0.00808198560230196,-0.217736658247689,177452.909090909,109035.025957806
"2",102,"Sockeye","Early Stuart","7/1/17","9/12/17","WC","Fraser River","Fraser Early Stuart","BC",49.12,-123.06,4,NA,62,1950,2011,1.97039479047148,1.34080059918412e-07,7458230.5572395,19682166.7733313,0.776101312968873,0.501608206974045,0.250165747715499,0.689664596586165,1,2.05987626325286,2.6818218907621e-06,372880.840239479,1076139.27350931,0.763150229466487,0.422505854556184,0.435228088929533,0.403798882878794,0.365603423903997,41335.6290322581,60209.2758343718
"3",103,"Sockeye","Bowron","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,NA,62,1950,2011,2.38029641041995,6.97949315759926e-05,14327.6879483892,56968.0335607068,0.805225433257903,0.294224218176469,0.0384045292291799,0.513849001278869,0.951612903225806,2.35373840655268,6.24415785549267e-05,16014.9698829339,62007.9317961488,0.804468578322434,0.283403862058697,0.263933764031444,0.312976204286102,0.107717383909883,4220.32258064516,4090.13215856942
"4",104,"Sockeye","Fennell","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,NA,46,1963,2011,3.00139980273965,0.000217412048424713,4599.56109721439,34034.0225674164,0.995757032596244,0.28126904339657,-0.0709232861072947,0.571105406751991,0.630434782608696,3.12269591598893,0.000243903215737411,4099.9869434957,34249.7650619937,0.984681509109611,0.202578706434177,0.142976631906424,-0.101976099410802,0.0518274387899514,3756.67391304348,3707.69949671909
"5",105,"Sockeye","Gates","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,"Spawning channel",44,1968,2011,2.93269508085115,7.88636062691432e-05,12680.1201125299,87595.5767032527,0.931253049649672,0.204828665119152,-0.105092574706645,0.47848462939957,0.909090909090909,2.98364317197437,8.90900369133704e-05,11224.5996819193,81593.6093314082,0.930262065053928,0.190378349100292,0.0152005255691364,0.025252525947892,-0.0870960490788345,4947.93181818182,5533.27301012208
"6",106,"Sockeye","Nadina","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,"Spawning channel",39,1973,2011,2.15193792912493,1.39730064499613e-05,71566.5596792715,226459.438724391,0.789127056670894,-0.0865249312253371,-0.38359111049814,0.226768278703572,1,2.1413215228573,1.277596997791e-05,78271.9434789708,245061.87772798,0.789156356470821,-0.0851474594870213,0.166686194097102,-0.134728783013266,0.131340994073196,8911.79487179487,11705.5610674663
"7",107,"Sockeye","Pitt","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,"Large hatchery influence that could not be separated out",62,1950,2011,2.2976689337727,4.48363747236865e-05,22303.3197077754,81646.9502304289,0.74794091014305,0.426088591400047,0.175328837652033,0.624931671921513,0.887096774193548,2.35968739486511,4.97349132619698e-05,20106.5998593921,78314.714285284,0.746891669955253,0.414240794494982,0.23124752888811,0.0790028216586651,0.0898683459604465,14375.3709677419,12629.3110610405
"8",108,"Sockeye","Raft","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,NA,62,1950,2011,2.41515235737991,7.91739002662013e-05,12630.4248829193,52000.895206664,0.80567657585426,0.228152210086088,-0.0324781456230536,0.459729511112993,0.935483870967742,2.37298380786067,6.95529625798726e-05,14377.5327880768,56749.7115186578,0.804461582774518,0.211708585968587,0.0783596703912882,0.193576265545551,0.166819461698592,4145.14516129032,4932.81221572765
"9",109,"Sockeye","Scotch","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,NA,40,1965,2011,2.18474541767225,2.71369603376294e-06,368501.109762596,1204944.92666101,1.08653386361251,0.349107528413539,-0.0115915140257653,0.629414633984638,1,2.25184035519039,5.93495883161311e-06,168493.165390366,589182.240654387,1.06964680305218,0.253518525820432,0.208432069438918,0.00340939950615655,0.0813729361868312,14176.9,44596.2140831915
"10",110,"Sockeye","Seymour","7/1/17","9/12/17","WC","Fraser River","Fraser Early Summer","BC",49.12,-123.06,4,NA,61,1950,2010,2.22259581194969,7.63120958365704e-06,131040.825053684,445013.54870545,0.898263264542717,0.0919729862441528,-0.164056272484492,0.336392948779055,0.983606557377049,2.22649898777515,7.94187062407226e-06,125914.919461033,429278.29902333,0.898158614857593,0.0879458811094163,0.128335183123098,0.0870606483951629,0.16856160624567,19736.6885245902,40051.0008175164
"11",111,"Sockeye","Chilko","7/1/17","9/12/17","WC","Fraser River","Fraser Summer","BC",49.12,-123.06,4,"Lake fertilization occurred in 1987 and 1989-1992",62,1950,2011,2.57994503205086,2.52505952982017e-06,396030.267084919,1922603.76211943,0.723367479378282,0.203539543903413,-0.0645987420250761,0.444266066050246,0.870967741935484,2.62680655896168,2.74873086928315e-06,363804.260058676,1850891.20566644,0.721900691999706,0.182106700282102,0.0960249956503761,0.144283239109668,0.252652377238979,211900.370967742,196918.659546061
"12",112,"Sockeye","Late Stuart","7/1/17","9/12/17","WC","Fraser River","Fraser Summer","BC",49.12,-123.06,4,NA,62,1950,2011,2.46026875217145,2.67567232459689e-06,373737.841815387,1609732.58206656,1.28051294800551,0.238620634954273,-0.0123153134016644,0.461281415673312,0.967741935483871,2.47551448277113,2.95721104264117e-06,338156.454030711,1478854.60694428,1.28114415431955,0.23847385356349,0.248785560300231,0.274032327158175,0.104793723311922,65645.0483870968,123665.014432688
"13",113,"Sockeye","Quesnel","7/1/17","9/12/17","WC","Fraser River","Fraser Summer","BC",49.12,-123.06,4,NA,62,1950,2011,2.33139036825552,6.30720509933966e-07,1585488.31732885,6003140.89511847,1.11380674895163,0.362459185914505,0.0808195892480125,0.590499102301448,0.983870967741935,2.44318785460287,1.17260946562765e-06,852798.846770983,3610897.21236424,1.09573985993175,0.272038266207749,0.340868043954929,0.333840389038046,0.339405342392311,177959.428935484,375832.289227711
"14",114,"Sockeye","Stellako","7/1/17","9/12/17","WC","Fraser River","Fraser Summer","BC",49.12,-123.06,4,NA,62,1950,2011,2.49590437069278,7.40726343810876e-06,135002.623891465,602566.83289236,0.831632057860962,0.100274940993708,-0.201753138728902,0.384888395954543,0.919354838709677,2.55144299577029,8.41205806644104e-06,118876.973042945,560894.098023125,0.830275635135673,0.0660134595875468,0.292322519529176,0.191916554141311,0.24978232873567,53426.1774193548,44882.8837164649
"15",115,"Sockeye","Birkenhead","7/1/17","9/12/17","WC","Fraser River","Fraser Late","BC",49.12,-123.06,4,NA,61,1950,2011,2.60179455944144,1.16272895486103e-05,86004.5667409665,426748.546598536,1.00369689995964,0.427493700957528,0.159796765090879,0.636622386135335,0.836065573770492,2.77601547344343,1.50807254812839e-05,66309.8072596746,391644.007155115,0.989875081463275,0.362137966292185,0.325896924899236,0.265087294083559,0.150241073147342,43625.6721311475,46031.7754465041
"16",116,"Sockeye","Cultus","7/1/17","9/12/17","WC","Fraser River","Fraser Late","BC",49.12,-123.06,4,"Hatchery fish released starting in 2000",49,1950,1999,2.02638681574184,3.83231149866453e-05,26093.9122602241,72827.1522497126,0.923495777464965,0.285482406642175,0.00116598702533981,0.527096253408693,0.979591836734694,2.03224189357134,3.85700714358107e-05,25926.8381616618,72785.7757619705,0.924048137963386,0.283489734597545,0.0063512436772512,-0.0431757045172165,-0.0876965468207196,6730.79591836735,6635.08328564781
"17",117,"Sockeye","Harrison","7/1/17","9/12/17","WC","Fraser River","Fraser Late","BC",49.12,-123.06,4,"Fry go to sea at BY+1",62,1950,2011,2.17142262763742,6.94617907426992e-06,143964.039698344,464511.433091092,1.3208459861549,-0.0384048873213262,-0.283591860347478,0.211495347646922,0.951612903225806,2.17544334440287,7.11515861848723e-06,140545.004492481,455306.627494272,1.32081522646095,-0.0365205646313897,0.0567137263849039,-0.134380646127292,-0.0885026575005815,25888.9032258065,74514.4446898258
