"","stock.id","species","stock","region","useflag","broodyear","spawners","r2","r3","r4","r5","r6","r7","recruits","logR_S"
"1",101,"Coho","Buskin River","Westward",1,1989,9356,0,2488,8774,648,0,NA,11910,0.241360534645276
"2",101,"Coho","Buskin River","Westward",1,1990,6039,0,2183,8158,299,0,NA,10640,0.566382048587734
"3",101,"Coho","Buskin River","Westward",1,1991,8434,0,3660,8938,1093,69,NA,13760,0.48949467718083
"4",101,"Coho","Buskin River","Westward",1,1992,6358,0,2804,8215,1517,0,NA,12536,0.678890642565109
"5",101,"Coho","Buskin River","Westward",1,1993,6318,37,2578,10208,1320,88,NA,14231,0.81201998132163
"6",101,"Coho","Buskin River","Westward",1,1994,7855,0,3035,9184,2569,0,NA,14788,0.632665769366801
"7",101,"Coho","Buskin River","Westward",1,1995,8438,0,2310,9123,1077,0,NA,12510,0.393783010776673
"8",101,"Coho","Buskin River","Westward",1,1996,8141,0,2347,8773,84,0,NA,11204,0.319357834806021
"9",101,"Coho","Buskin River","Westward",1,1997,10582,0,2193,8568,422,0,NA,11183,0.0552403235641112
"10",101,"Coho","Buskin River","Westward",1,1998,8742,0,8316,11688,1375,0,NA,21379,0.894270135377148
"11",101,"Coho","Buskin River","Westward",1,1999,9383,0,2253,11935,2137,0,NA,16325,0.553798133854582
"12",101,"Coho","Buskin River","Westward",1,2000,7737,0,3994,9653,1325,0,NA,14972,0.660167774474865
"13",101,"Coho","Buskin River","Westward",1,2001,13214,0,3624,14969,1135,0,NA,19728,0.400762072814295
"14",101,"Coho","Buskin River","Westward",1,2002,10349,38,5299,15228,141,0,NA,20706,0.693533616657885
"15",101,"Coho","Buskin River","Westward",1,2003,12754,66,5094,11954,258,0,NA,17372,0.309014766779496
"16",101,"Coho","Buskin River","Westward",1,2004,9016,0,3375,9217,705,0,NA,13297,0.388537669137094
"17",101,"Coho","Buskin River","Westward",1,2005,16235,70,4125,12782,185,0,NA,17162,0.0555282318301199
"18",101,"Coho","Buskin River","Westward",1,2006,12560,0,2315,7726,1047,0,NA,11088,-0.124653718592505
"19",101,"Coho","Buskin River","Westward",1,2007,8375,0,1854,6805,190,91,NA,8940,0.0652845114742926
"20",101,"Coho","Buskin River","Westward",1,2008,8176,0,1570,7253,273,0,NA,9096,0.106631722986886
"21",101,"Coho","Buskin River","Westward",1,2009,9583,0,382,8931,223,0,NA,9536,-0.00491658503863123
"22",101,"Coho","Buskin River","Westward",1,2010,6239,0,1550,11810,960,0,NA,14320,0.83083724840385
"23",101,"Coho","Buskin River","Westward",0,2011,5298,0,1671,NA,NA,NA,NA,1671,-1.15390714123662
"24",101,"Coho","Buskin River","Westward",0,2012,4906,0,NA,NA,NA,NA,NA,0,-Inf
"57",104,"Coho","Berners River","Southeast",0,1979,3460,NA,8886,22102,670,135,NA,31793,2.2179775506991
"58",104,"Coho","Berners River","Southeast",1,1982,7505,NA,8172,17483,278,0,NA,25933,1.23994682387777
"59",104,"Coho","Berners River","Southeast",1,1983,9840,NA,5298,12086,95,0,NA,17479,0.574544449288787
"60",104,"Coho","Berners River","Southeast",1,1984,2825,NA,1694,7281,625,0,NA,9600,1.22325473387539
"61",104,"Coho","Berners River","Southeast",1,1985,6169,NA,7596,13259,506,0,NA,21361,1.24203007924804
"62",104,"Coho","Berners River","Southeast",1,1986,1752,NA,5804,15245,424,0,NA,21473,2.5060383394708
"65",104,"Coho","Berners River","Southeast",1,1989,10819,NA,24843,34753,0,NA,NA,59596,1.70628461001966
"66",104,"Coho","Berners River","Southeast",1,1990,15074,NA,18633,41792,66,NA,NA,60491,1.38952318821902
"67",104,"Coho","Berners River","Southeast",1,1991,11243,NA,35417,14509,0,NA,NA,49926,1.49079619637873
