"","stock.id","species","stock","region","sub.region","broodyear","spawners","recruits","use","recruits.2","recruits.3","recruits.4","recruits.5","recruits.6","age","logR_S"
"1",301,"Chum","Willapa Bay","Outside WA","Outside WA",1968,13200,102452,1,NA,37698,58088,6666,0,"data",2.04917756661995
"2",301,"Chum","Willapa Bay","Outside WA","Outside WA",1969,33900,49558,1,NA,17844,30950,764,0,"data",0.379728686435146
"3",301,"Chum","Willapa Bay","Outside WA","Outside WA",1970,23100,32832,1,NA,9999,22833,0,0,"data",0.351571032020556
"4",301,"Chum","Willapa Bay","Outside WA","Outside WA",1971,37600,28026,1,NA,21350,6531,145,0,"data",-0.293871399647823
"5",301,"Chum","Willapa Bay","Outside WA","Outside WA",1972,22400,70219,1,NA,27309,42910,0,0,"data",1.1425579708209
"6",301,"Chum","Willapa Bay","Outside WA","Outside WA",1973,14500,10956,1,NA,5213,5743,0,0,"data",-0.280261398025697
"7",301,"Chum","Willapa Bay","Outside WA","Outside WA",1974,12200,82709,1,NA,42118,39691,900,0,"data",1.91389247145505
"8",301,"Chum","Willapa Bay","Outside WA","Outside WA",1975,12600,5129,1,NA,3405,1724,0,0,"data",-0.898786105550301
"9",301,"Chum","Willapa Bay","Outside WA","Outside WA",1976,16500,37755,1,NA,4873,30564,2318,0,"data",0.827757536348854
"10",301,"Chum","Willapa Bay","Outside WA","Outside WA",1977,40200,60288,1,NA,34327,25422,539,0,"data",0.405266083328922
"11",301,"Chum","Willapa Bay","Outside WA","Outside WA",1978,18900,157305,1,NA,12813,118125,26367,0,"data",2.11902467388888
"12",301,"Chum","Willapa Bay","Outside WA","Outside WA",1979,6915,40605,1,NA,16028,22688,1889,0,"data",1.77019824661765
"13",301,"Chum","Willapa Bay","Outside WA","Outside WA",1980,37300,49594,1,NA,19077,29957,560,0,"data",0.284876532021989
"14",301,"Chum","Willapa Bay","Outside WA","Outside WA",1981,22120,56762,1,NA,33018,22901,843,0,"data",0.942384911098679
"15",301,"Chum","Willapa Bay","Outside WA","Outside WA",1982,66889,112546,1,NA,46572,59328,6646,0,"data",0.520327497860292
"16",301,"Chum","Willapa Bay","Outside WA","Outside WA",1983,20871,41943,1,NA,4668,30502,6773,0,"data",0.697950918064183
"17",301,"Chum","Willapa Bay","Outside WA","Outside WA",1984,42635,250649,1,NA,59165,173340,18144,0,"data",1.77137804188057
"18",301,"Chum","Willapa Bay","Outside WA","Outside WA",1985,52703,16457,1,NA,2746,12155,1556,0,"data",-1.16392146131005
"19",301,"Chum","Willapa Bay","Outside WA","Outside WA",1986,34040,34130,1,NA,4932,18420,10777.76,0,"data",0.00264045921344232
"20",301,"Chum","Willapa Bay","Outside WA","Outside WA",1987,31884,45389,1,NA,643,39742.99,5003,0,"data",0.353165468375581
"21",301,"Chum","Willapa Bay","Outside WA","Outside WA",1988,61947,136550,1,NA,16840.25,93055.8,26337.6,316.57,"data",0.790411667167268
"22",301,"Chum","Willapa Bay","Outside WA","Outside WA",1989,17056,21186,1,NA,2001.2,14485.68,4431.98,267.38,"data",0.21683853819087
"23",301,"Chum","Willapa Bay","Outside WA","Outside WA",1990,17762,26881,1,NA,3072.72,19310.77,4278.08,219.06,"data",0.414358373507597
"24",301,"Chum","Willapa Bay","Outside WA","Outside WA",1991,33959,22961,1,NA,7597.68,14705.9,657.18,0,"data",-0.391356790092168
"25",301,"Chum","Willapa Bay","Outside WA","Outside WA",1992,37068,27331,1,NA,7486.64,18839.16,1005,0,"data",-0.304732474625832
"26",301,"Chum","Willapa Bay","Outside WA","Outside WA",1993,31017,26297,1,NA,2190.6,18090,6016.48,0,"data",-0.165080577036311
"27",301,"Chum","Willapa Bay","Outside WA","Outside WA",1994,30526,78988,1,NA,14405,59412.74,5170.6,0,"data",0.950717162702133
"28",301,"Chum","Willapa Bay","Outside WA","Outside WA",1995,24695,17741,1,NA,9776.78,7497.37,466.48,0,"data",-0.330722448914077
"29",301,"Chum","Willapa Bay","Outside WA","Outside WA",1996,20011,49863,1,NA,13185.03,34053.04,2625.35,0,"data",0.912997122397656
"30",301,"Chum","Willapa Bay","Outside WA","Outside WA",1997,33314,50376,1,NA,12128.48,30979.13,7267.92,0,"data",0.413537142131526
"31",301,"Chum","Willapa Bay","Outside WA","Outside WA",1998,65101,60487,1,NA,18902.52,39065.07,2519.22,0,"data",-0.0735114441650722
"32",301,"Chum","Willapa Bay","Outside WA","Outside WA",1999,24512,131968,1,NA,43607.52,74736.86,13623.96,0,"data",1.68339667539626
"33",301,"Chum","Willapa Bay","Outside WA","Outside WA",2000,40030,99668,1,NA,6717.92,86285.08,6438.39,226.62,"data",0.912215489555032
"34",301,"Chum","Willapa Bay","Outside WA","Outside WA",2001,29389,32968,1,NA,14759.29,17075.73,1133.1,0,"data",0.114916939363192
"35",301,"Chum","Willapa Bay","Outside WA","Outside WA",2002,59243,24678,1,NA,4758.81,18356.22,1562.94,0,"data",-0.875735471099495
"36",301,"Chum","Willapa Bay","Outside WA","Outside WA",2003,47347,17352,1,NA,2946.06,13545.48,860.65,0,"data",-1.00379568612777
"37",301,"Chum","Willapa Bay","Outside WA","Outside WA",2004,84021,13158,1,NA,2431.24,9344.2,1382.48,0,"data",-1.85403682893471
"38",301,"Chum","Willapa Bay","Outside WA","Outside WA",2005,11924,8486,1,NA,2090.15,5875.54,520.4,0,"data",-0.340135429035692
"45",302,"Chum","Grays Harbour","Outside WA","Outside WA",1969,11150,46156,1,NA,14133,30493,1530,0,"data",1.42058746542629
"46",302,"Chum","Grays Harbour","Outside WA","Outside WA",1970,15700,39290,1,NA,13211,25666,413,0,"data",0.917309321216106
"47",302,"Chum","Grays Harbour","Outside WA","Outside WA",1971,10250,16839,1,NA,11054,5785,0,0,"data",0.496419919043755
"48",302,"Chum","Grays Harbour","Outside WA","Outside WA",1972,8000,48667,1,NA,18110,29710,847,0,"data",1.805559640652
"49",302,"Chum","Grays Harbour","Outside WA","Outside WA",1973,12350,7510,1,NA,3486,3786,238,0,"data",-0.497420597297943
"50",302,"Chum","Grays Harbour","Outside WA","Outside WA",1974,8300,43044,1,NA,18882,24162,NA,0,"data",1.64596733353559
"51",302,"Chum","Grays Harbour","Outside WA","Outside WA",1975,11750,2178,1,NA,2036,NA,142,0,"data",-1.6854462160794
"52",302,"Chum","Grays Harbour","Outside WA","Outside WA",1976,11650,22333,1,NA,NA,21352,981,0,"data",0.650759225226628
"53",302,"Chum","Grays Harbour","Outside WA","Outside WA",1977,21000,56898,1,NA,25955,26482,4461,0,"data",0.996737753406222
"54",302,"Chum","Grays Harbour","Outside WA","Outside WA",1978,11000,100065,1,NA,10261,80018,9786,0,"data",2.20792470203122
"56",302,"Chum","Grays Harbour","Outside WA","Outside WA",1980,24700,32665,1,NA,19339,13102,224,0,"data",0.279500924658782
"57",302,"Chum","Grays Harbour","Outside WA","Outside WA",1981,18050,56232,1,NA,33222,20394,2616,0,"data",1.13634030509471
"58",302,"Chum","Grays Harbour","Outside WA","Outside WA",1982,35100,75031,1,NA,24204,47777,3050,0,"data",0.759700230999133
"59",302,"Chum","Grays Harbour","Outside WA","Outside WA",1983,21000,19314,1,NA,1936,15319,2059,0,"data",-0.0836922161786969
"60",302,"Chum","Grays Harbour","Outside WA","Outside WA",1984,23700,193488,1,NA,49413,132735,11340,0,"data",2.09974044690183
"61",302,"Chum","Grays Harbour","Outside WA","Outside WA",1985,31300,10371,1,NA,2334,6780,1257,0,"data",-1.10460464793851
"62",302,"Chum","Grays Harbour","Outside WA","Outside WA",1986,19550,13888,1,NA,994,9579,3315,0,"data",-0.34195012851338
"63",302,"Chum","Grays Harbour","Outside WA","Outside WA",1987,9475,34257,1,NA,1697,29740,2820,0,"data",1.28523417241913
"64",302,"Chum","Grays Harbour","Outside WA","Outside WA",1988,62175,108438,1,NA,12350,78550,17538,0,"data",0.556225591392088
"65",302,"Chum","Grays Harbour","Outside WA","Outside WA",1989,9080,25044,1,NA,1576,16818,6650,0,"data",1.01456008526986
"66",302,"Chum","Grays Harbour","Outside WA","Outside WA",1990,8972,24951,1,NA,3485,15804,5662,0,"data",1.0228052848967
"67",302,"Chum","Grays Harbour","Outside WA","Outside WA",1991,17936,9412,1,NA,2605,6307,500,0,"data",-0.644824395464688
"68",302,"Chum","Grays Harbour","Outside WA","Outside WA",1992,38300,21441,1,NA,8451,12676,314,0,"data",-0.580144919280649
