"","index","species","location","ts.length","ts.start","ts.end"
"21",21,"Chinook","Bear Valley Creek",52,1957,2008
"22",22,"Chinook","Big Creek",52,1957,2008
"23",23,"Chinook","Camas Creek",42,1960,2008
"24",24,"Chinook","Catherine Creek",53,1955,2007
"25",25,"Chinook","East Fork Salmon River",52,1957,2008
"26",26,"Chinook","East Fork South Fork Salmon River",52,1957,2008
"27",27,"Chinook","Entiat River",48,1960,2007
"28",28,"Chinook","Grande Ronde River Upper Mainstem",53,1955,2007
"29",29,"Chinook","Imnaha River Mainstem",52,1956,2007
"30",30,"Chinook","Lemhi River",52,1957,2008
"31",31,"Chinook","Loon Creek",38,1957,2008
"32",32,"Chinook","Marsh Creek",52,1957,2008
"33",33,"Chinook","Methow River",49,1960,2008
"34",34,"Chinook","Middle Fork Salmon River Lower Mainstem",31,1957,2008
"35",35,"Chinook","Middle Fork Salmon River Upper Mainstem",29,1957,2008
"36",36,"Chinook","Minam River",52,1956,2007
"37",37,"Chinook","Salmon River Lower Mainstem",45,1957,2008
"38",38,"Chinook","Salmon River Upper Mainstem",52,1957,2008
"39",39,"Chinook","Secesh River",52,1957,2008
"40",40,"Chinook","South Fork Salmon River",52,1957,2008
"41",41,"Chinook","Sulphur Creek",52,1957,2008
"42",42,"Chinook","Tucannon River",27,1980,2006
"43",43,"Chinook","Valley Creek",52,1957,2008
"44",44,"Chinook","Wallowa/Lostine Rivers",49,1959,2007
"45",45,"Chinook","Wenaha River",45,1963,2007
"46",46,"Chinook","Wenatchee River",48,1960,2007
"47",47,"Chinook","Yankee Fork",42,1960,2008
"48",48,"Chinook","Cedar River",46,1965,2010
"49",49,"Chinook","Green River",44,1968,2011
"50",50,"Chinook","Lower Sauk River",59,1952,2010
"51",51,"Chinook","Lower Skagit River",59,1952,2010
"52",52,"Chinook","Mid-Hood Canal",42,1968,2010
"53",53,"Chinook","Nisqually River",43,1968,2010
"54",54,"Chinook","North Fork Stillaguamish River",37,1974,2010
"55",55,"Chinook","Puyallup River",44,1968,2011
"56",56,"Chinook","Skokomish River",43,1968,2010
"57",57,"Chinook","Skykomish River",46,1965,2010
"58",58,"Chinook","Snoqualmie River",46,1965,2010
"59",59,"Chinook","South Fork Stillaguamish River",37,1974,2010
"60",60,"Chinook","Suiattle River",52,1952,2003
"61",61,"Chinook","Upper Sauk River",59,1952,2010
"62",62,"Chinook","Upper Skagit River",59,1952,2010
"63",63,"Chinook","White River",47,1965,2011
"64",64,"Chinook","Clackamas River",29,1974,2002
"65",65,"Chinook","Coweeman River",45,1964,2008
"66",66,"Chinook","Elochoman River",45,1964,2008
"67",67,"Chinook","Grays and Chinook Rivers",45,1964,2008
"68",68,"Chinook","Kalama River",45,1964,2008
"69",69,"Chinook","Lewis River Fall-run",45,1964,2008
"70",70,"Chinook","Lewis River Late fall",44,1964,2007
"71",71,"Chinook","Lower Cowlitz River",44,1964,2007
"72",72,"Chinook","McKenzie River",39,1970,2008
"73",73,"Chinook","Toutle River",32,1964,2008
"74",74,"Chinook","Upper Gorge Tributaries",40,1964,2003
"75",75,"Chinook","White Salmon River",39,1965,2003
