"","stock.id","species","stock","region","useflag","broodyear","spawners","r2","r3","r4","r5","r6","r7","r8","recruits","logR_S"
"49",102,"Chinook","Karluk","Westward",1,1985,4890,NA,732,1278,4046,5966,700,NA,12722,0.956140474769832
"50",102,"Chinook","Karluk","Westward",1,1986,4307,NA,415,1353,3419,3673,124,NA,8984,0.735203611364169
"51",102,"Chinook","Karluk","Westward",1,1987,7731,NA,945,2364,3622,10288,1087,NA,18306,0.86199065462425
"52",102,"Chinook","Karluk","Westward",1,1988,12518,NA,977,1519,5205,10254,1488,NA,19443,0.440319499611179
"53",102,"Chinook","Karluk","Westward",1,1989,9925,NA,481,1376,3487,8521,934,NA,14799,0.399502784346457
"54",102,"Chinook","Karluk","Westward",1,1990,13742,NA,97,1643,2147,5811,879,NA,10577,-0.261775004262968
"55",102,"Chinook","Karluk","Westward",1,1991,12423,NA,661,1847,2899,6865,161,NA,12433,0.000804634739260686
"56",102,"Chinook","Karluk","Westward",1,1992,8745,NA,454,1915,5248,7907,850,NA,16374,0.627212602483691
"57",102,"Chinook","Karluk","Westward",1,1993,12310,NA,176,1259,1686,5898,150,NA,9169,-0.294583711128598
"58",102,"Chinook","Karluk","Westward",1,1994,10566,NA,589,1437,5846,6777,703,NA,15352,0.373604459963275
"59",102,"Chinook","Karluk","Westward",1,1995,11373,NA,203,1270,3531,4554,376,NA,9934,-0.135278908517149
"60",102,"Chinook","Karluk","Westward",1,1996,8356,NA,166,472,1543,3248,155,NA,5584,-0.403074478234248
"61",102,"Chinook","Karluk","Westward",1,1997,11869,NA,245,173,2848,2012,549,NA,5827,-0.711427670913431
"62",102,"Chinook","Karluk","Westward",1,1998,9066,NA,151,2242,5013,5603,240,NA,13249,0.379390925367329
"63",102,"Chinook","Karluk","Westward",1,1999,11297,NA,289,1583,3422,2377,1135,NA,8806,-0.24910389641123
"64",102,"Chinook","Karluk","Westward",1,2000,7879,NA,121,459,2111,2905,499,NA,6095,-0.256732229330316
"65",102,"Chinook","Karluk","Westward",1,2001,3149,NA,133,521,912,1179,105,NA,2850,-0.0997659478383285
"66",102,"Chinook","Karluk","Westward",1,2002,6574,NA,162,225,368,533,108,NA,1396,-1.54951147090185
"67",102,"Chinook","Karluk","Westward",1,2003,6965,NA,88,107,160,410,334,NA,1099,-1.84649693181028
"68",102,"Chinook","Karluk","Westward",1,2004,6805,NA,70,52,497,1332,376,NA,2327,-1.07307775178327
"69",102,"Chinook","Karluk","Westward",1,2005,4611,NA,20,256,862,1249,155,NA,2542,-0.595493580457306
"70",102,"Chinook","Karluk","Westward",1,2006,3351,NA,53,325,1449,1865,618,NA,4310,0.251679095360483
"71",102,"Chinook","Karluk","Westward",1,2007,1609,NA,34,260,1072,655,132,NA,2153,0.29124935037198
"72",102,"Chinook","Karluk","Westward",1,2008,752,NA,65,209,792,599,115,NA,1780,0.861632319336291
"73",102,"Chinook","Karluk","Westward",1,2009,1306,NA,50,496,548,1076,2170,NA,4340,1.20090531725807
"80",103,"Chinook","Chignik","Westward",1,1980,669,NA,129,1430,1692,2695,9.2,NA,5955.2,2.1862360063197
"81",103,"Chinook","Chignik","Westward",1,1981,1396,NA,217,765,2120,1982,3.9,NA,5087.9,1.29325416741645
"82",103,"Chinook","Chignik","Westward",1,1982,2205,NA,116,958,1559,3998,3.2,NA,6634.2,1.10151057889546
"83",103,"Chinook","Chignik","Westward",1,1983,1736,NA,145,704,3145,2983,4.2,NA,6981.2,1.39163720553039
"84",103,"Chinook","Chignik","Westward",1,1984,5341,NA,107,1421,2347,3554,1.4,NA,7430.4,0.330166791723747
"85",103,"Chinook","Chignik","Westward",1,1985,2937,NA,215,1060,2796,2857,2.5,NA,6930.5,0.858543308454788
"86",103,"Chinook","Chignik","Westward",1,1986,3405,NA,161,1263,2247,3056,2.1,NA,6729.1,0.681196465543471
"87",103,"Chinook","Chignik","Westward",1,1987,2417,NA,191,1015,2405,3869,3.2,NA,7483.2,1.13013340626814
"88",103,"Chinook","Chignik","Westward",1,1988,4635,NA,154,1086,2054,1900,1.2,NA,5195.2,0.114098923348626
"89",103,"Chinook","Chignik","Westward",1,1989,3135,NA,165,1007,2475,4677,2.9,NA,8326.9,0.976862063969752
"90",103,"Chinook","Chignik","Westward",1,1990,4157,NA,89,322,1070,2726,1,NA,4208,0.0121938151649084
"91",103,"Chinook","Chignik","Westward",1,1991,4338,NA,144,890,1266,2196,1,NA,4497,0.0359970953838878
"92",103,"Chinook","Chignik","Westward",1,1992,3599,NA,178,438,1797,1448,1.1,NA,3862.1,0.0705550478937264
"93",103,"Chinook","Chignik","Westward",1,1993,1739,NA,0,1098,2224,1791,3.1,NA,5116.1,1.07908219467414
"94",103,"Chinook","Chignik","Westward",1,1994,2809,NA,50,955,2040,1940,1.8,NA,4986.8,0.573965873366576
"95",103,"Chinook","Chignik","Westward",1,1995,4081,NA,239,1822,2083,1425,1.4,NA,5570.4,0.311124808222531
"96",103,"Chinook","Chignik","Westward",1,1996,3278,NA,206,575,1033,1341,1.2,NA,3156.2,-0.0378647079897428
"97",103,"Chinook","Chignik","Westward",1,1997,3617,NA,144,784,192,856,1.7,NA,1977.7,-0.603710399624119
"98",103,"Chinook","Chignik","Westward",1,1998,2868,NA,891,1532,4965,1974,3.3,NA,9365.3,1.18339644681538
"99",103,"Chinook","Chignik","Westward",1,1999,3521,NA,958,2055,5133,2615,3.1,NA,10764.1,1.11747148287527
"100",103,"Chinook","Chignik","Westward",1,2000,4078,NA,1199,2764,6101,1941,3,NA,12008,1.0799664221789
"101",103,"Chinook","Chignik","Westward",1,2001,2785,NA,395,291,2227,923,1.4,NA,3837.4,0.320547180562614
"102",103,"Chinook","Chignik","Westward",1,2002,2821,NA,0,1020,1058,670,1,NA,2749,-0.0258542228367506
"103",103,"Chinook","Chignik","Westward",1,2003,6205,NA,367,485,769,755,0.4,NA,2376.4,-0.959768681157121
"104",103,"Chinook","Chignik","Westward",1,2004,7633,NA,174,352,866,1770,0.4,NA,3162.4,-0.881149719815995
"105",103,"Chinook","Chignik","Westward",1,2005,6037,NA,127,397,2030,1399,0.7,NA,3953.7,-0.423255350478473
"106",103,"Chinook","Chignik","Westward",1,2006,3175,NA,143,930,1605,606,1,NA,3285,0.0340590195919189
"107",103,"Chinook","Chignik","Westward",1,2007,1675,NA,334,735,695,320,1.3,NA,2085.3,0.219099564515383
"108",103,"Chinook","Chignik","Westward",1,2008,1620,NA,264,318,931,606,NA,NA,2119,0.268518130041869
"138",105,"Chinook","Goodnews","AYK",1,1981,3688,0,7,1232,1968,2370,599,0,6176,0.515586507028128
"139",105,"Chinook","Goodnews","AYK",1,1982,1395,0,30,489,1306,2554,228,0,4607,1.19468247068045
"140",105,"Chinook","Goodnews","AYK",1,1983,6027,0,15,495,1209,2136,264,9,4128,-0.378456346321645
"141",105,"Chinook","Goodnews","AYK",1,1984,3260,0,16,681,1615,2386,271,0,4969,0.421491417241567
"142",105,"Chinook","Goodnews","AYK",1,1985,2831,0,0,242,899,971,109,0,2221,-0.242672461217472
"143",105,"Chinook","Goodnews","AYK",1,1986,2080,0,14,1846,984,1712,207,0,4763,0.828509828105497
"144",105,"Chinook","Goodnews","AYK",1,1987,2272,0,26,578,1231,1561,604,0,4000,0.565633860260986
"145",105,"Chinook","Goodnews","AYK",1,1988,2712,0,0,628,964,2614,49,1,4256,0.450643381961194
"146",105,"Chinook","Goodnews","AYK",1,1989,1915,0,41,949,1781,3846,201,0,6818,1.2698485510831
"147",105,"Chinook","Goodnews","AYK",1,1990,3636,0,17,427,1080,1722,10,0,3256,-0.110384728174938
"148",105,"Chinook","Goodnews","AYK",1,1991,1952,0,65,1643,1100,1167,275,0,4250,0.778064494945425
"149",105,"Chinook","Goodnews","AYK",1,1992,1905,0,0,781,358,2034,93,0,3266,0.539083985969609
"150",105,"Chinook","Goodnews","AYK",1,1993,2349,0,30,2114,4044,2743,65,0,8996,1.34279032842029
"151",105,"Chinook","Goodnews","AYK",1,1994,3856,0,24,786,606,1048,234,0,2698,-0.357119618962735
"152",105,"Chinook","Goodnews","AYK",1,1995,4836,0,142,1156,3073,4568,145,0,9084,0.630426691490766
"153",105,"Chinook","Goodnews","AYK",1,1996,2931,0,23,813,1278,1526,138,0,3778,0.253851107350562
"154",105,"Chinook","Goodnews","AYK",1,1997,2937,0,28,351,1021,1129,42,0,2571,-0.133093723932731
"155",105,"Chinook","Goodnews","AYK",1,1998,4584,0,51,1309,1272,1024,9,0,3665,-0.223743644073824
"156",105,"Chinook","Goodnews","AYK",1,1999,3221,0,7,526,1251,1285,107,0,3176,-0.0140693269641724
"157",105,"Chinook","Goodnews","AYK",1,2000,2500,0,81,2886,3366,1853,152,0,8338,1.20453264758445
"158",105,"Chinook","Goodnews","AYK",1,2001,5351,0,124,1084,1559,2019,181,NA,4967,-0.0744674232039541
"193",107,"Chinook","Chickamin","Southeast",1,1985,4436,NA,NA,1143,2906,1224,0,NA,5273,0.172846391060212
"194",107,"Chinook","Chickamin","Southeast",1,1986,8097,NA,NA,1204,5736,2397,0,NA,9337,0.142491378797811
"195",107,"Chinook","Chickamin","Southeast",1,1987,4524,NA,NA,1893,2778,1490,55,NA,6216,0.317730054811472
"196",107,"Chinook","Chickamin","Southeast",1,1988,3647,NA,NA,539,2183,1547,44,NA,4313,0.167728805839163
"197",107,"Chinook","Chickamin","Southeast",1,1989,4334,NA,NA,300,1663,2441,249,NA,4653,0.0710212697483442
"198",107,"Chinook","Chickamin","Southeast",1,1990,2617,NA,NA,688,593,1738,102,NA,3121,0.176124839740634
"199",107,"Chinook","Chickamin","Southeast",1,1991,2260,NA,NA,784,2279,253,17,NA,3333,0.388507986041408
"200",107,"Chinook","Chickamin","Southeast",1,1992,1605,NA,NA,555,905,551,8,NA,2019,0.229478582748721
"201",107,"Chinook","Chickamin","Southeast",1,1993,1805,NA,NA,302,1242,665,19,NA,2228,0.210543730280193
"202",107,"Chinook","Chickamin","Southeast",1,1994,1800,NA,NA,277,902,873,36,NA,2088,0.148420005118273
"203",107,"Chinook","Chickamin","Southeast",1,1995,2309,NA,NA,274,416,1219,57,NA,1966,-0.160813508647384
"204",107,"Chinook","Chickamin","Southeast",1,1996,1587,NA,NA,214,992,527,46,NA,1779,0.114205967139426
"205",107,"Chinook","Chickamin","Southeast",1,1997,1262,NA,NA,269,652,454,28,NA,1403,0.105915037001302
"206",107,"Chinook","Chickamin","Southeast",1,1998,1814,NA,NA,534,1601,213,0,NA,2348,0.258029550272905
"207",107,"Chinook","Chickamin","Southeast",1,1999,2283,NA,NA,600,1094,779,14,NA,2487,0.0855867972736092
"208",107,"Chinook","Chickamin","Southeast",1,2000,3717,NA,NA,972,2146,1034,0,NA,4152,0.110673254548472
"209",107,"Chinook","Chickamin","Southeast",1,2001,5177,NA,NA,1080,3778,1190,32,NA,6080,0.160778958058311
"210",107,"Chinook","Chickamin","Southeast",1,2002,5007,NA,NA,1648,2214,1722,25,NA,5609,0.113535517178392
"211",107,"Chinook","Chickamin","Southeast",1,2003,4579,NA,NA,555,3371,1145,21,NA,5092,0.106190047020202
"212",107,"Chinook","Chickamin","Southeast",1,2004,3275,NA,NA,2077,969,1396,16,NA,4458,0.308382365876462
"245",110,"Chinook","Stikine","Southeast",1,1977,11445,NA,NA,869,8217,5814,154,NA,15054,0.27409078320781
"246",110,"Chinook","Stikine","Southeast",1,1978,6835,NA,NA,1364,3909,2196,151,NA,7620,0.108719899522642
"247",110,"Chinook","Stikine","Southeast",1,1979,12610,NA,NA,4296,14394,15908,313,NA,34911,1.01831181581722
"248",110,"Chinook","Stikine","Southeast",1,1980,30573,NA,NA,1728,4063,13078,1053,NA,19922,-0.428292617791692
"249",110,"Chinook","Stikine","Southeast",1,1981,36057,NA,NA,1148,6408,22261,772,NA,30589,-0.164460552431999
"250",110,"Chinook","Stikine","Southeast",1,1982,40488,NA,NA,1798,6594,38133,5900,NA,52425,0.258377942876207
"251",110,"Chinook","Stikine","Southeast",1,1983,6424,NA,NA,1830,3949,13538,1595,NA,20912,1.18028218023741
"252",110,"Chinook","Stikine","Southeast",1,1984,13995,NA,NA,1174,10838,25748,979,NA,38739,1.01814672156521
"253",110,"Chinook","Stikine","Southeast",1,1985,16037,NA,NA,845,2286,17213,79,NA,20423,0.241763164208349
"254",110,"Chinook","Stikine","Southeast",1,1986,14889,NA,NA,3175,11437,31968,1674,NA,48254,1.17585604062984
"255",110,"Chinook","Stikine","Southeast",1,1987,24632,NA,NA,2854,8712,58592,3181,NA,73339,1.09104611680394
"256",110,"Chinook","Stikine","Southeast",1,1988,37554,NA,NA,812,6323,31269,2350,NA,40754,0.0817740972081254
"257",110,"Chinook","Stikine","Southeast",1,1989,24282,NA,NA,848,4386,13185,135,NA,18554,-0.269049935890704
"258",110,"Chinook","Stikine","Southeast",1,1990,22619,NA,NA,1223,5045,9783,167,NA,16218,-0.332668524523479
"259",110,"Chinook","Stikine","Southeast",1,1991,23206,NA,NA,5101,26685,28208,692,NA,60686,0.961302163033907
"260",110,"Chinook","Stikine","Southeast",1,1992,34129,NA,NA,1927,9116,22283,985,NA,34311,0.00531853971412175
"261",110,"Chinook","Stikine","Southeast",1,1993,58962,NA,NA,1329,7197,15075,544,NA,24145,-0.89281584928284
"262",110,"Chinook","Stikine","Southeast",1,1994,33094,NA,NA,2437,11116,13801,207,NA,27561,-0.182950267112213
"263",110,"Chinook","Stikine","Southeast",1,1995,16784,NA,NA,6670,18980,16061,468,NA,42179,0.921496415197205
"264",110,"Chinook","Stikine","Southeast",1,1996,28949,NA,NA,14470,52738,42750,176,NA,110134,1.33616214512109
"265",110,"Chinook","Stikine","Southeast",1,1997,26996,NA,NA,772,14686,15663,133,NA,31254,0.146458661109949
"269",111,"Chinook","Unuk","Southeast",1,1982,6528,NA,NA,225,1031,5497,0,NA,6753,0.033886232930899
"271",111,"Chinook","Unuk","Southeast",1,1984,8876,NA,NA,1041,6026,2918,0,NA,9985,0.117732961797431
"272",111,"Chinook","Unuk","Southeast",1,1985,5721,NA,NA,3103,4819,660,0,NA,8582,0.405523371282941
"273",111,"Chinook","Unuk","Southeast",1,1986,10273,NA,NA,7132,5123,4800,92,NA,17147,0.512304136962588
"274",111,"Chinook","Unuk","Southeast",1,1987,9533,NA,NA,2011,4578,4261,50,NA,10900,0.134003325723657
"275",111,"Chinook","Unuk","Southeast",1,1988,8437,NA,NA,1293,3358,4433,64,NA,9148,0.0809084809770451
"276",111,"Chinook","Unuk","Southeast",1,1989,5552,NA,NA,337,2544,2721,80,NA,5682,0.0231450602274929
"277",111,"Chinook","Unuk","Southeast",1,1990,2856,NA,NA,1509,707,1526,145,NA,3887,0.308215607392748
"278",111,"Chinook","Unuk","Southeast",1,1991,3165,NA,NA,786,2414,551,38,NA,3789,0.179949076440324
"279",111,"Chinook","Unuk","Southeast",1,1992,4233,NA,NA,1319,1914,2232,30,NA,5495,0.260927626316798
"280",111,"Chinook","Unuk","Southeast",1,1993,5160,NA,NA,568,2241,2797,99,NA,5705,0.100406403820568
"282",111,"Chinook","Unuk","Southeast",1,1995,3730,NA,NA,1616,995,2362,0,NA,4973,0.287615046076877
"283",111,"Chinook","Unuk","Southeast",1,1996,5639,NA,NA,736,3061,2319,187,NA,6303,0.111318965705928
"284",111,"Chinook","Unuk","Southeast",1,1997,2970,NA,NA,916,1240,1408,59,NA,3623,0.198740459098332
"285",111,"Chinook","Unuk","Southeast",1,1998,4132,NA,NA,1269,2595,1207,35,NA,5106,0.2116547675619
"286",111,"Chinook","Unuk","Southeast",1,1999,3914,NA,NA,2427,1918,1581,16,NA,5942,0.417485908066531
"287",111,"Chinook","Unuk","Southeast",1,2000,5872,NA,NA,3140,3499,1447,50,NA,8136,0.326103367434044
"288",111,"Chinook","Unuk","Southeast",1,2001,10541,NA,NA,946,6923,3337,21,NA,11227,0.0630491762035902
"289",111,"Chinook","Unuk","Southeast",1,2002,6988,NA,NA,2485,2887,3188,66,NA,8626,0.210586505953841
"290",111,"Chinook","Unuk","Southeast",1,2003,5546,NA,NA,592,3942,1474,46,NA,6054,0.0876422634059406
"291",111,"Chinook","Unuk","Southeast",1,2004,3963,NA,NA,2936,1289,1756,19,NA,6000,0.414758155019757
"314",113,"Chinook","Situk","Southeast",1,1977,1732,NA,399,802,199,6,0,NA,1406,-0.20852801675177
"315",113,"Chinook","Situk","Southeast",1,1978,808,NA,150,438,313,180,29,NA,1110,0.317553235785284
"316",113,"Chinook","Situk","Southeast",1,1979,1284,NA,156,704,1289,606,0,NA,2755,0.763437237337108
"317",113,"Chinook","Situk","Southeast",1,1980,905,NA,268,1118,895,556,0,NA,2837,1.14256749110893
"318",113,"Chinook","Situk","Southeast",1,1981,702,NA,137,1068,1019,315,0,NA,2539,1.28559217767887
"319",113,"Chinook","Situk","Southeast",1,1982,434,NA,318,973,1299,439,0,NA,3029,1.94294327692683
"320",113,"Chinook","Situk","Southeast",1,1983,592,NA,324,1181,835,93,0,NA,2433,1.41337370789952
"321",113,"Chinook","Situk","Southeast",1,1984,1726,NA,79,290,441,222,3,NA,1035,-0.511405165943904
"322",113,"Chinook","Situk","Southeast",1,1985,1521,NA,35,618,488,68,0,NA,1209,-0.2295744416445
"323",113,"Chinook","Situk","Southeast",1,1986,2067,NA,225,396,259,305,4,NA,1189,-0.552985662990986
"324",113,"Chinook","Situk","Southeast",1,1987,1379,NA,540,1267,1964,314,0,NA,4085,1.0859631295008
"325",113,"Chinook","Situk","Southeast",1,1988,868,NA,491,988,904,289,0,NA,2672,1.12439081999619
"326",113,"Chinook","Situk","Southeast",1,1989,637,NA,544,821,1314,79,0,NA,2758,1.46549140278108
"327",113,"Chinook","Situk","Southeast",1,1990,628,NA,497,2366,2849,461,9,NA,6182,2.28685695622386
"328",113,"Chinook","Situk","Southeast",1,1991,889,NA,2103,11104,3089,124,0,NA,16420,2.91615814749251
"329",113,"Chinook","Situk","Southeast",1,1992,1595,NA,934,3468,2076,29,0,NA,6507,1.40600478427604
"330",113,"Chinook","Situk","Southeast",1,1993,952,NA,1071,3014,893,60,0,NA,5038,1.66619942212119
"331",113,"Chinook","Situk","Southeast",1,1994,1271,NA,1346,2744,1034,50,0,NA,5174,1.40384209155652
"332",113,"Chinook","Situk","Southeast",1,1995,4330,NA,1674,4570,902,69,0,NA,7215,0.510594650211436
"333",113,"Chinook","Situk","Southeast",1,1996,1800,NA,1496,3704,1301,26,0,NA,6527,1.28816075475096
"334",113,"Chinook","Situk","Southeast",1,1997,1878,NA,284,570,207,42,0,NA,1103,-0.532173640514706
"335",113,"Chinook","Situk","Southeast",1,1998,924,NA,406,1204,678,190,NA,NA,2478,0.986494990547404
"398",117,"Chinook","Nushagak","Bristol Bay",1,1966,81462,NA,123,29152,42741,52165,8122,2309,134612,0.502259912436594
"399",117,"Chinook","Nushagak","Bristol Bay",1,1967,133477,NA,0,13407,24276,69883,41498,481,149545,0.113668172529399
"400",117,"Chinook","Nushagak","Bristol Bay",1,1968,142951,NA,0,19269,27973,112961,15563,0,175766,0.20665165075705
"401",117,"Chinook","Nushagak","Bristol Bay",1,1969,69970,NA,161,2021,24211,52815,4406,0,83614,0.178144391427133
"402",117,"Chinook","Nushagak","Bristol Bay",1,1970,101435,NA,0,2308,99035,122212,7057,1304,231916,0.826957037884706
"403",117,"Chinook","Nushagak","Bristol Bay",1,1971,81237,NA,0,4251,92497,137871,30130,0,264749,1.18141139891765
"404",117,"Chinook","Nushagak","Bristol Bay",1,1972,50156,NA,0,54542,76015,197634,20422,0,348613,1.93882427608754
"405",117,"Chinook","Nushagak","Bristol Bay",1,1973,70130,NA,0,3161,126571,146299,21957,0,297988,1.44670255468941
"406",117,"Chinook","Nushagak","Bristol Bay",1,1974,142535,NA,0,37375,61174,85994,7041,0,191584,0.295738771157338
"407",117,"Chinook","Nushagak","Bristol Bay",1,1975,142791,NA,622,132128,245809,206923,23281,0,608763,1.45004700669569
"408",117,"Chinook","Nushagak","Bristol Bay",1,1976,205273,NA,1187,12794,162995,219891,9779,236,406882,0.684182416596174
"409",117,"Chinook","Nushagak","Bristol Bay",1,1977,132907,NA,0,133157,224311,330577,23654,80,711779,1.67811783445813
"410",117,"Chinook","Nushagak","Bristol Bay",1,1978,268046,NA,3591,38275,73840,87853,36075,68,239702,-0.111762122404568
"411",117,"Chinook","Nushagak","Bristol Bay",1,1979,194335,NA,4110,67999,107081,150580,9742,0,339512,0.557925818496357
"412",117,"Chinook","Nushagak","Bristol Bay",1,1980,289040,NA,0,16843,82043,88008,7112,0,194006,-0.398676000419261
"413",117,"Chinook","Nushagak","Bristol Bay",1,1981,307527,NA,1437,43485,65724,139122,12808,0,262576,-0.158022324332727
"414",117,"Chinook","Nushagak","Bristol Bay",1,1982,300656,NA,2171,2336,66498,55822,10510,0,137337,-0.783528994692667
"415",117,"Chinook","Nushagak","Bristol Bay",1,1983,331270,NA,73,18385,38221,95090,2135,0,153904,-0.766604721426023
"416",117,"Chinook","Nushagak","Bristol Bay",1,1984,163544,NA,336,28503,49848,40766,3652,0,123105,-0.284044417532922
"417",117,"Chinook","Nushagak","Bristol Bay",1,1985,236899,NA,6553,32196,64645,81772,3091,0,188257,-0.229825839381828
"418",117,"Chinook","Nushagak","Bristol Bay",1,1986,82777,NA,0,48212,91683,75683,3600,0,219178,0.973733940047414
"419",117,"Chinook","Nushagak","Bristol Bay",1,1987,169562,NA,906,68525,87799,117710,8507,0,283447,0.513806515187478
"420",117,"Chinook","Nushagak","Bristol Bay",1,1988,113006,NA,1085,61287,100816,148698,3254,0,315140,1.02557606988604
"421",117,"Chinook","Nushagak","Bristol Bay",1,1989,158551,NA,4243,60024,122311,124899,4306,0,315783,0.688978960710532
"422",117,"Chinook","Nushagak","Bristol Bay",1,1990,126747,NA,1235,52337,49636,40939,982,0,145129,0.135430028532253
"423",117,"Chinook","Nushagak","Bristol Bay",1,1991,210346,NA,2751,91425,97826,84588,5435,0,282025,0.293241925561097
"424",117,"Chinook","Nushagak","Bristol Bay",1,1992,166965,NA,1912,45459,76219,126924,1317,0,251831,0.410974018001301
"425",117,"Chinook","Nushagak","Bristol Bay",1,1993,197098,NA,4499,83442,198974,76767,3891,0,367573,0.623220871408712
"426",117,"Chinook","Nushagak","Bristol Bay",1,1994,190121,NA,1867,37359,47034,59399,5729,0,151388,-0.22781463394356
"427",117,"Chinook","Nushagak","Bristol Bay",1,1995,173014,NA,2190,22871,42788,94165,4710,236,166960,-0.0356182533100855
"428",117,"Chinook","Nushagak","Bristol Bay",1,1996,102348,NA,974,31377,60853,82265,3111,0,178580,0.556657908964098
