"","stock.id","species","stock","region","useflag","broodyear","spawners","r2","r3","r4","r5","r6","r7","r8","recruits","logR_S"
"1",101,"Chinook","Ayakulik","Westward",1,1977,4958,NA,407,5063,1698,8647,655,NA,16470,1.20053811057655
"2",101,"Chinook","Ayakulik","Westward",1,1978,4551,NA,1173,833,4314,3480,726,NA,10526,0.838501397897082
"3",101,"Chinook","Ayakulik","Westward",1,1979,4641,NA,282,2539,2434,4752,492,NA,10499,0.816350154273765
"4",101,"Chinook","Ayakulik","Westward",1,1980,935,NA,367,745,1562,1799,294,NA,4767,1.62892592591614
"5",101,"Chinook","Ayakulik","Westward",1,1981,7699,NA,644,3137,3258,6547,1183,NA,14769,0.651439939148261
"6",101,"Chinook","Ayakulik","Westward",1,1982,3230,NA,999,1810,4327,7462,676,NA,15274,1.55366989923163
"7",101,"Chinook","Ayakulik","Westward",1,1983,15366,NA,848,4084,9142,7189,1240,NA,22503,0.381491357210166
"8",101,"Chinook","Ayakulik","Westward",1,1984,6065,NA,1096,4009,4165,6676,1086,NA,17032,1.03255938519516
"9",101,"Chinook","Ayakulik","Westward",1,1985,8075,NA,1595,2694,5288,8351,1083,NA,19011,0.856244889900769
"10",101,"Chinook","Ayakulik","Westward",1,1986,6295,NA,801,2705,5175,6430,1627,NA,16738,0.977925916114372
"11",101,"Chinook","Ayakulik","Westward",1,1987,15510,NA,712,2285,3577,4115,210,NA,10899,-0.352813935281273
"12",101,"Chinook","Ayakulik","Westward",1,1988,20770,NA,752,2008,1893,4697,1471,NA,10821,-0.652020947298509
"13",101,"Chinook","Ayakulik","Westward",1,1989,15042,NA,977,2823,2346,11744,594,NA,18484,0.206059204603809
"14",101,"Chinook","Ayakulik","Westward",1,1990,10999,NA,97,1016,2813,5964,836,NA,10726,-0.0251336590142461
"15",101,"Chinook","Ayakulik","Westward",1,1991,12425,NA,987,2804,3465,8500,558,NA,16314,0.272313062895696
"16",101,"Chinook","Ayakulik","Westward",1,1992,8359,NA,996,3465,3104,9788,267,NA,17620,0.745695817791014
"17",101,"Chinook","Ayakulik","Westward",1,1993,6815,NA,573,1578,2551,4754,179,NA,9635,0.346276236717834
"18",101,"Chinook","Ayakulik","Westward",1,1994,8190,NA,1150,2771,8324,10716,589,NA,23550,1.05621192259745
"19",101,"Chinook","Ayakulik","Westward",1,1995,17501,NA,1603,3289,12010,12981,743,NA,30626,0.559591299238996
"20",101,"Chinook","Ayakulik","Westward",1,1996,9925,NA,464,888,3711,3626,127,NA,8816,-0.118488574162695
"21",101,"Chinook","Ayakulik","Westward",1,1997,13167,NA,178,1664,4188,3766,710,NA,10506,-0.225767176842437
"22",101,"Chinook","Ayakulik","Westward",1,1998,13779,NA,1698,3452,10207,16276,250,NA,31883,0.838927258368671
"23",101,"Chinook","Ayakulik","Westward",1,1999,12894,NA,714,3417,6568,3239,187,NA,14125,0.0911841901440762
"24",101,"Chinook","Ayakulik","Westward",1,2000,19724,NA,122,732,3471,1077,1327,NA,6729,-1.0754096241557
"25",101,"Chinook","Ayakulik","Westward",1,2001,13361,NA,356,1046,1457,3314,526,NA,6699,-0.690381754080627
"26",101,"Chinook","Ayakulik","Westward",1,2002,12190,NA,336,416,1335,1229,151,NA,3467,-1.25732627679029
"27",101,"Chinook","Ayakulik","Westward",1,2003,17106,NA,98,380,829,804,350,NA,2461,-1.93886150774967
"28",101,"Chinook","Ayakulik","Westward",1,2004,24425,NA,110,397,768,1585,172,NA,3032,-2.08638473014872
"29",101,"Chinook","Ayakulik","Westward",1,2005,8175,NA,113,691,1525,1900,85,NA,4314,-0.639215168816352
"30",101,"Chinook","Ayakulik","Westward",1,2006,2937,NA,217,1637,1473,2905,169,NA,6401,0.779065575943383
"31",101,"Chinook","Ayakulik","Westward",1,2007,6232,NA,134,730,1172,1880,81,NA,3997,-0.444153228839261
"32",101,"Chinook","Ayakulik","Westward",1,2008,3071,NA,120,633,649,428,140,NA,1970,-0.443969698708788
"33",101,"Chinook","Ayakulik","Westward",1,2009,2615,NA,48,178,228,617,1070,NA,2141,-0.199991087909341
"40",102,"Chinook","Karluk","Westward",1,1976,6436,NA,418,625,2297,3082,721,NA,7143,0.104225627042699
"41",102,"Chinook","Karluk","Westward",1,1977,7973,NA,275,1169,2639,5946,740,NA,10769,0.300610802826385
"42",102,"Chinook","Karluk","Westward",1,1978,9334,NA,409,1018,3685,4115,551,NA,9778,0.0464713166288299
"43",102,"Chinook","Karluk","Westward",1,1979,9094,NA,286,1011,2040,2610,409,NA,6356,-0.358215606728349
"44",102,"Chinook","Karluk","Westward",1,1980,4349,NA,237,563,1236,1746,345,NA,4127,-0.0523951828450566
"45",102,"Chinook","Karluk","Westward",1,1981,7114,NA,306,668,1615,2999,558,NA,6146,-0.146263209817971
"46",102,"Chinook","Karluk","Westward",1,1982,6693,NA,335,837,2782,5037,621,NA,9612,0.361950113755717
"47",102,"Chinook","Karluk","Westward",1,1983,11442,NA,384,1471,4578,4662,1023,NA,12118,0.0574011546764603
"48",102,"Chinook","Karluk","Westward",1,1984,7572,NA,646,2270,3590,7025,1225,NA,14756,0.667192546387353
